asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,16,随机事件及其概率,基础,选择,01,,pb_16_基础_选择_01_question.png,pb_16_基础_选择_01_solution.png,1
002,16,随机事件及其概率,基础,选择,02,,pb_16_基础_选择_02_question.png,pb_16_基础_选择_02_solution.png,1
003,16,随机事件及其概率,基础,选择,03,,pb_16_基础_选择_03_question.png,pb_16_基础_选择_03_solution.png,1
004,16,随机事件及其概率,基础,选择,04,,pb_16_基础_选择_04_question.png,pb_16_基础_选择_04_solution.png,1
005,16,随机事件及其概率,基础,选择,05,,pb_16_基础_选择_05_question.png,pb_16_基础_选择_05_solution.png,1
006,16,随机事件及其概率,基础,选择,06,,pb_16_基础_选择_06_question.png,pb_16_基础_选择_06_solution.png,1
007,16,随机事件及其概率,基础,选择,07,,pb_16_基础_选择_07_question.png,pb_16_基础_选择_07_solution.png,1
008,16,随机事件及其概率,基础,填空,01,,pb_16_基础_填空_01_question.png,pb_16_基础_填空_01_solution.png,1
009,16,随机事件及其概率,基础,填空,02,,pb_16_基础_填空_02_question.png,pb_16_基础_填空_02_solution.png,1
010,16,随机事件及其概率,基础,填空,03,,pb_16_基础_填空_03_question.png,pb_16_基础_填空_03_solution.png,1
011,16,随机事件及其概率,基础,填空,04,,pb_16_基础_填空_04_question.png,pb_16_基础_填空_04_solution.png,1
012,16,随机事件及其概率,基础,填空,05,,pb_16_基础_填空_05_question.png,pb_16_基础_填空_05_solution_1.png;pb_16_基础_填空_05_solution_2.png,2
013,16,随机事件及其概率,基础,填空,06,,pb_16_基础_填空_06_question.png,pb_16_基础_填空_06_solution.png,1
014,16,随机事件及其概率,基础,解答,01,(1),pb_16_基础_解答_01_(1)_question.png,pb_16_基础_解答_01_(1)_solution.png,1
015,16,随机事件及其概率,基础,解答,01,(2),pb_16_基础_解答_01_(2)_question.png,pb_16_基础_解答_01_(2)_solution.png,1
016,16,随机事件及其概率,基础,解答,01,(3),pb_16_基础_解答_01_(3)_question.png,pb_16_基础_解答_01_(3)_solution.png,1
017,16,随机事件及其概率,基础,解答,02,(1),pb_16_基础_解答_02_(1)_question.png,pb_16_基础_解答_02_(1)_solution.png,1
018,16,随机事件及其概率,基础,解答,02,(2),pb_16_基础_解答_02_(2)_question.png,pb_16_基础_解答_02_(2)_solution.png,1
019,16,随机事件及其概率,综合,选择,01,,pb_16_综合_选择_01_question.png,pb_16_综合_选择_01_solution.png,1
020,16,随机事件及其概率,综合,选择,02,,pb_16_综合_选择_02_question.png,pb_16_综合_选择_02_solution_1.png;pb_16_综合_选择_02_solution_2.png,2
021,16,随机事件及其概率,综合,填空,01,,pb_16_综合_填空_01_question.png,pb_16_综合_填空_01_solution.png,1
022,16,随机事件及其概率,综合,填空,02,,pb_16_综合_填空_02_question.png,pb_16_综合_填空_02_solution.png,1
023,16,随机事件及其概率,综合,填空,03,,pb_16_综合_填空_03_question.png,pb_16_综合_填空_03_solution.png,1
024,16,随机事件及其概率,综合,填空,04,,pb_16_综合_填空_04_question.png,pb_16_综合_填空_04_solution.png,1
025,16,随机事件及其概率,综合,填空,05,,pb_16_综合_填空_05_question.png,pb_16_综合_填空_05_solution.png,1
026,16,随机事件及其概率,综合,解答,01,(1),pb_16_综合_解答_01_(1)_question.png,pb_16_综合_解答_01_(1)_solution_1.png;pb_16_综合_解答_01_(1)_solution_2.png,2
027,16,随机事件及其概率,综合,解答,01,(2),pb_16_综合_解答_01_(2)_question.png,pb_16_综合_解答_01_(2)_solution_1.png;pb_16_综合_解答_01_(2)_solution_2.png,2
028,16,随机事件及其概率,综合,解答,02,,pb_16_综合_解答_02_question.png,pb_16_综合_解答_02_solution.png,1
029,16,随机事件及其概率,拓展,解答,01,(1),pb_16_拓展_解答_01_(1)_question.png,pb_16_拓展_解答_01_(1)_solution.png,1
030,16,随机事件及其概率,拓展,解答,01,(2),pb_16_拓展_解答_01_(2)_question.png,pb_16_拓展_解答_01_(2)_solution.png,1
