asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,17,随机变量及其分布,基础,选择,01,,pb_17_基础_选择_01_question.png,pb_17_基础_选择_01_solution.png,1
002,17,随机变量及其分布,基础,选择,02,,pb_17_基础_选择_02_question.png,pb_17_基础_选择_02_solution.png,1
003,17,随机变量及其分布,基础,选择,03,,pb_17_基础_选择_03_question.png,pb_17_基础_选择_03_solution.png,1
004,17,随机变量及其分布,基础,选择,04,,pb_17_基础_选择_04_question.png,pb_17_基础_选择_04_solution.png,1
005,17,随机变量及其分布,基础,选择,05,,pb_17_基础_选择_05_question.png,pb_17_基础_选择_05_solution.png,1
006,17,随机变量及其分布,基础,选择,06,,pb_17_基础_选择_06_question.png,pb_17_基础_选择_06_solution.png,1
007,17,随机变量及其分布,基础,填空,01,,pb_17_基础_填空_01_question.png,pb_17_基础_填空_01_solution.png,1
008,17,随机变量及其分布,基础,填空,02,,pb_17_基础_填空_02_question.png,pb_17_基础_填空_02_solution.png,1
009,17,随机变量及其分布,基础,填空,03,,pb_17_基础_填空_03_question.png,pb_17_基础_填空_03_solution.png,1
010,17,随机变量及其分布,基础,填空,04,,pb_17_基础_填空_04_question.png,pb_17_基础_填空_04_solution.png,1
011,17,随机变量及其分布,基础,填空,05,,pb_17_基础_填空_05_question.png,pb_17_基础_填空_05_solution.png,1
012,17,随机变量及其分布,基础,解答,01,,pb_17_基础_解答_01_question.png,pb_17_基础_解答_01_solution.png,1
013,17,随机变量及其分布,基础,解答,02,,pb_17_基础_解答_02_question.png,pb_17_基础_解答_02_solution_1.png;pb_17_基础_解答_02_solution_2.png,2
014,17,随机变量及其分布,基础,解答,03,,pb_17_基础_解答_03_question.png,pb_17_基础_解答_03_solution.png,1
015,17,随机变量及其分布,基础,解答,04,,pb_17_基础_解答_04_question.png,pb_17_基础_解答_04_solution.png,1
016,17,随机变量及其分布,基础,解答,05,,pb_17_基础_解答_05_question.png,pb_17_基础_解答_05_solution.png,1
017,17,随机变量及其分布,基础,解答,06,,pb_17_基础_解答_06_question.png,pb_17_基础_解答_06_solution_1.png;pb_17_基础_解答_06_solution_2.png,2
018,17,随机变量及其分布,基础,解答,07,,pb_17_基础_解答_07_question.png,pb_17_基础_解答_07_solution.png,1
019,17,随机变量及其分布,综合,选择,01,,pb_17_综合_选择_01_question.png,pb_17_综合_选择_01_solution.png,1
020,17,随机变量及其分布,综合,选择,02,,pb_17_综合_选择_02_question.png,pb_17_综合_选择_02_solution.png,1
021,17,随机变量及其分布,综合,选择,03,,pb_17_综合_选择_03_question.png,pb_17_综合_选择_03_solution.png,1
022,17,随机变量及其分布,综合,选择,04,,pb_17_综合_选择_04_question.png,pb_17_综合_选择_04_solution.png,1
023,17,随机变量及其分布,综合,填空,01,,pb_17_综合_填空_01_question.png,pb_17_综合_填空_01_solution.png,1
024,17,随机变量及其分布,综合,填空,02,,pb_17_综合_填空_02_question.png,pb_17_综合_填空_02_solution.png,1
025,17,随机变量及其分布,综合,填空,03,,pb_17_综合_填空_03_question.png,pb_17_综合_填空_03_solution_1.png;pb_17_综合_填空_03_solution_2.png,2
026,17,随机变量及其分布,综合,填空,04,,pb_17_综合_填空_04_question.png,pb_17_综合_填空_04_solution.png,1
027,17,随机变量及其分布,综合,填空,05,,pb_17_综合_填空_05_question.png,pb_17_综合_填空_05_solution.png,1
028,17,随机变量及其分布,综合,填空,06,,pb_17_综合_填空_06_question.png,pb_17_综合_填空_06_solution.png,1
029,17,随机变量及其分布,综合,填空,07,,pb_17_综合_填空_07_question.png,pb_17_综合_填空_07_solution_1.png;pb_17_综合_填空_07_solution_2.png,2
030,17,随机变量及其分布,综合,填空,08,,pb_17_综合_填空_08_question.png,pb_17_综合_填空_08_solution.png,1
031,17,随机变量及其分布,综合,解答,01,,pb_17_综合_解答_01_question.png,pb_17_综合_解答_01_solution.png,1
032,17,随机变量及其分布,综合,解答,02,,pb_17_综合_解答_02_question.png,pb_17_综合_解答_02_solution_1.png;pb_17_综合_解答_02_solution_2.png,2
