asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,18,多维随机变量及其分布,基础,选择,01,,pb_18_基础_选择_01_question.png,pb_18_基础_选择_01_solution.png,1
002,18,多维随机变量及其分布,基础,选择,02,,pb_18_基础_选择_02_question.png,pb_18_基础_选择_02_solution.png,1
003,18,多维随机变量及其分布,基础,选择,03,,pb_18_基础_选择_03_question.png,pb_18_基础_选择_03_solution_1.png;pb_18_基础_选择_03_solution_2.png,2
004,18,多维随机变量及其分布,基础,填空,01,,pb_18_基础_填空_01_question.png,pb_18_基础_填空_01_solution.png,1
005,18,多维随机变量及其分布,基础,填空,02,,pb_18_基础_填空_02_question.png,pb_18_基础_填空_02_solution.png,1
006,18,多维随机变量及其分布,基础,填空,03,,pb_18_基础_填空_03_question.png,pb_18_基础_填空_03_solution_1.png;pb_18_基础_填空_03_solution_2.png,2
007,18,多维随机变量及其分布,基础,解答,01,(1),pb_18_基础_解答_01_(1)_question.png,pb_18_基础_解答_01_(1)_solution.png,1
008,18,多维随机变量及其分布,基础,解答,01,(2),pb_18_基础_解答_01_(2)_question.png,pb_18_基础_解答_01_(2)_solution.png,1
009,18,多维随机变量及其分布,基础,解答,01,(3),pb_18_基础_解答_01_(3)_question.png,pb_18_基础_解答_01_(3)_solution.png,1
010,18,多维随机变量及其分布,基础,解答,02,(1),pb_18_基础_解答_02_(1)_question.png,pb_18_基础_解答_02_(1)_solution.png,1
011,18,多维随机变量及其分布,基础,解答,02,(2),pb_18_基础_解答_02_(2)_question.png,pb_18_基础_解答_02_(2)_solution.png,1
012,18,多维随机变量及其分布,基础,解答,02,(3),pb_18_基础_解答_02_(3)_question.png,pb_18_基础_解答_02_(3)_solution.png,1
013,18,多维随机变量及其分布,基础,解答,03,(1),pb_18_基础_解答_03_(1)_question.png,pb_18_基础_解答_03_(1)_solution.png,1
014,18,多维随机变量及其分布,基础,解答,03,(2),pb_18_基础_解答_03_(2)_question.png,pb_18_基础_解答_03_(2)_solution.png,1
015,18,多维随机变量及其分布,基础,解答,04,,pb_18_基础_解答_04_question.png,pb_18_基础_解答_04_solution_1.png;pb_18_基础_解答_04_solution_2.png,2
016,18,多维随机变量及其分布,基础,解答,05,(1),pb_18_基础_解答_05_(1)_question.png,pb_18_基础_解答_05_(1)_solution.png,1
017,18,多维随机变量及其分布,基础,解答,05,(2),pb_18_基础_解答_05_(2)_question.png,pb_18_基础_解答_05_(2)_solution.png,1
018,18,多维随机变量及其分布,基础,解答,05,(3),pb_18_基础_解答_05_(3)_question.png,pb_18_基础_解答_05_(3)_solution.png,1
019,18,多维随机变量及其分布,基础,解答,06,,pb_18_基础_解答_06_question.png,pb_18_基础_解答_06_solution_1.png;pb_18_基础_解答_06_solution_2.png,2
020,18,多维随机变量及其分布,基础,解答,07,,pb_18_基础_解答_07_question.png,pb_18_基础_解答_07_solution_1.png;pb_18_基础_解答_07_solution_2.png,2
021,18,多维随机变量及其分布,基础,解答,08,,pb_18_基础_解答_08_question.png,pb_18_基础_解答_08_solution.png,1
022,18,多维随机变量及其分布,基础,解答,09,(1),pb_18_基础_解答_09_(1)_question.png,pb_18_基础_解答_09_(1)_solution_1.png;pb_18_基础_解答_09_(1)_solution_2.png,2
023,18,多维随机变量及其分布,基础,解答,09,(2),pb_18_基础_解答_09_(2)_question.png,pb_18_基础_解答_09_(2)_solution.png,1
024,18,多维随机变量及其分布,基础,解答,10,(1),pb_18_基础_解答_10_(1)_question.png,pb_18_基础_解答_10_(1)_solution.png,1
025,18,多维随机变量及其分布,基础,解答,10,(2),pb_18_基础_解答_10_(2)_question.png,pb_18_基础_解答_10_(2)_solution.png,1
026,18,多维随机变量及其分布,综合,选择,01,,pb_18_综合_选择_01_question.png,pb_18_综合_选择_01_solution_1.png;pb_18_综合_选择_01_solution_2.png,2
027,18,多维随机变量及其分布,综合,选择,02,,pb_18_综合_选择_02_question.png,pb_18_综合_选择_02_solution.png,1
028,18,多维随机变量及其分布,综合,选择,03,,pb_18_综合_选择_03_question.png,pb_18_综合_选择_03_solution.png,1
029,18,多维随机变量及其分布,综合,选择,04,,pb_18_综合_选择_04_question.png,pb_18_综合_选择_04_solution.png,1
030,18,多维随机变量及其分布,综合,选择,05,,pb_18_综合_选择_05_question.png,pb_18_综合_选择_05_solution_1.png;pb_18_综合_选择_05_solution_2.png,2
031,18,多维随机变量及其分布,综合,填空,01,,pb_18_综合_填空_01_question.png,pb_18_综合_填空_01_solution.png,1
032,18,多维随机变量及其分布,综合,填空,02,,pb_18_综合_填空_02_question.png,pb_18_综合_填空_02_solution.png,1
033,18,多维随机变量及其分布,综合,填空,03,,pb_18_综合_填空_03_question.png,pb_18_综合_填空_03_solution_1.png;pb_18_综合_填空_03_solution_2.png,2
034,18,多维随机变量及其分布,综合,解答,01,,pb_18_综合_解答_01_question.png,pb_18_综合_解答_01_solution.png,1
035,18,多维随机变量及其分布,综合,解答,02,,pb_18_综合_解答_02_question.png,pb_18_综合_解答_02_solution_1.png;pb_18_综合_解答_02_solution_2.png,2
036,18,多维随机变量及其分布,综合,解答,03,(1),pb_18_综合_解答_03_(1)_question.png,pb_18_综合_解答_03_(1)_solution.png,1
