asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,19,随机变量的数字特征,基础,选择,01,,pb_19_基础_选择_01_question.png,pb_19_基础_选择_01_solution.png,1
002,19,随机变量的数字特征,基础,选择,02,,pb_19_基础_选择_02_question.png,pb_19_基础_选择_02_solution.png,1
003,19,随机变量的数字特征,基础,选择,03,,pb_19_基础_选择_03_question.png,pb_19_基础_选择_03_solution.png,1
004,19,随机变量的数字特征,基础,选择,04,,pb_19_基础_选择_04_question.png,pb_19_基础_选择_04_solution.png,1
005,19,随机变量的数字特征,基础,选择,05,,pb_19_基础_选择_05_question.png,pb_19_基础_选择_05_solution_1.png;pb_19_基础_选择_05_solution_2.png,2
006,19,随机变量的数字特征,基础,选择,06,,pb_19_基础_选择_06_question.png,pb_19_基础_选择_06_solution.png,1
007,19,随机变量的数字特征,基础,选择,07,,pb_19_基础_选择_07_question.png,pb_19_基础_选择_07_solution.png,1
008,19,随机变量的数字特征,基础,选择,08,,pb_19_基础_选择_08_question.png,pb_19_基础_选择_08_solution.png,1
009,19,随机变量的数字特征,基础,填空,01,,pb_19_基础_填空_01_question.png,pb_19_基础_填空_01_solution.png,1
010,19,随机变量的数字特征,基础,填空,02,,pb_19_基础_填空_02_question.png,pb_19_基础_填空_02_solution.png,1
011,19,随机变量的数字特征,基础,填空,03,,pb_19_基础_填空_03_question.png,pb_19_基础_填空_03_solution_1.png;pb_19_基础_填空_03_solution_2.png,2
012,19,随机变量的数字特征,基础,填空,04,,pb_19_基础_填空_04_question.png,pb_19_基础_填空_04_solution.png,1
013,19,随机变量的数字特征,基础,填空,05,,pb_19_基础_填空_05_question.png,pb_19_基础_填空_05_solution.png,1
014,19,随机变量的数字特征,基础,解答,01,(1),pb_19_基础_解答_01_(1)_question.png,pb_19_基础_解答_01_(1)_solution_1.png;pb_19_基础_解答_01_(1)_solution_2.png,2
015,19,随机变量的数字特征,基础,解答,01,(2),pb_19_基础_解答_01_(2)_question.png,pb_19_基础_解答_01_(2)_solution.png,1
016,19,随机变量的数字特征,基础,解答,02,,pb_19_基础_解答_02_question.png,pb_19_基础_解答_02_solution.png,1
017,19,随机变量的数字特征,基础,解答,03,,pb_19_基础_解答_03_question.png,pb_19_基础_解答_03_solution.png,1
018,19,随机变量的数字特征,基础,解答,04,(1),pb_19_基础_解答_04_(1)_question.png,pb_19_基础_解答_04_(1)_solution.png,1
019,19,随机变量的数字特征,基础,解答,04,(2),pb_19_基础_解答_04_(2)_question.png,pb_19_基础_解答_04_(2)_solution.png,1
020,19,随机变量的数字特征,基础,解答,04,(3),pb_19_基础_解答_04_(3)_question.png,pb_19_基础_解答_04_(3)_solution.png,1
021,19,随机变量的数字特征,基础,解答,05,(1),pb_19_基础_解答_05_(1)_question.png,pb_19_基础_解答_05_(1)_solution.png,1
022,19,随机变量的数字特征,基础,解答,05,(2),pb_19_基础_解答_05_(2)_question.png,pb_19_基础_解答_05_(2)_solution.png,1
023,19,随机变量的数字特征,基础,解答,06,(1),pb_19_基础_解答_06_(1)_question.png,pb_19_基础_解答_06_(1)_solution_1.png;pb_19_基础_解答_06_(1)_solution_2.png,2
024,19,随机变量的数字特征,基础,解答,06,(2),pb_19_基础_解答_06_(2)_question.png,pb_19_基础_解答_06_(2)_solution.png,1
025,19,随机变量的数字特征,综合,选择,01,,pb_19_综合_选择_01_question.png,pb_19_综合_选择_01_solution.png,1
026,19,随机变量的数字特征,综合,选择,02,,pb_19_综合_选择_02_question.png,pb_19_综合_选择_02_solution_1.png;pb_19_综合_选择_02_solution_2.png,2
027,19,随机变量的数字特征,综合,选择,03,,pb_19_综合_选择_03_question.png,pb_19_综合_选择_03_solution.png,1
028,19,随机变量的数字特征,综合,选择,04,,pb_19_综合_选择_04_question.png,pb_19_综合_选择_04_solution.png,1
029,19,随机变量的数字特征,综合,选择,05,,pb_19_综合_选择_05_question.png,pb_19_综合_选择_05_solution_1.png;pb_19_综合_选择_05_solution_2.png,2
030,19,随机变量的数字特征,综合,选择,06,,pb_19_综合_选择_06_question.png,pb_19_综合_选择_06_solution.png,1
031,19,随机变量的数字特征,综合,选择,07,,pb_19_综合_选择_07_question.png,pb_19_综合_选择_07_solution.png,1
032,19,随机变量的数字特征,综合,选择,08,,pb_19_综合_选择_08_question.png,pb_19_综合_选择_08_solution_1.png;pb_19_综合_选择_08_solution_2.png,2
033,19,随机变量的数字特征,综合,填空,01,,pb_19_综合_填空_01_question.png,pb_19_综合_填空_01_solution.png,1
034,19,随机变量的数字特征,综合,填空,02,,pb_19_综合_填空_02_question.png,pb_19_综合_填空_02_solution.png,1
035,19,随机变量的数字特征,综合,填空,03,,pb_19_综合_填空_03_question.png,pb_19_综合_填空_03_solution.png,1
036,19,随机变量的数字特征,综合,填空,04,,pb_19_综合_填空_04_question.png,pb_19_综合_填空_04_solution_1.png;pb_19_综合_填空_04_solution_2.png,2
037,19,随机变量的数字特征,综合,填空,05,,pb_19_综合_填空_05_question.png,pb_19_综合_填空_05_solution.png,1
038,19,随机变量的数字特征,综合,填空,06,,pb_19_综合_填空_06_question.png,pb_19_综合_填空_06_solution.png,1
039,19,随机变量的数字特征,综合,填空,07,,pb_19_综合_填空_07_question.png,pb_19_综合_填空_07_solution.png,1
040,19,随机变量的数字特征,综合,填空,08,,pb_19_综合_填空_08_question.png,pb_19_综合_填空_08_solution.png,1
041,19,随机变量的数字特征,综合,解答,01,(1),pb_19_综合_解答_01_(1)_question.png,pb_19_综合_解答_01_(1)_solution.png,1
