asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,21,数理统计的基本概念,基础,选择,01,,pb_21_基础_选择_01_question.png,pb_21_基础_选择_01_solution.png,1
002,21,数理统计的基本概念,基础,选择,02,,pb_21_基础_选择_02_question.png,pb_21_基础_选择_02_solution.png,1
003,21,数理统计的基本概念,基础,选择,03,,pb_21_基础_选择_03_question.png,pb_21_基础_选择_03_solution.png,1
004,21,数理统计的基本概念,基础,填空,01,,pb_21_基础_填空_01_question.png,pb_21_基础_填空_01_solution_1.png;pb_21_基础_填空_01_solution_2.png,2
005,21,数理统计的基本概念,基础,填空,02,,pb_21_基础_填空_02_question.png,pb_21_基础_填空_02_solution.png,1
006,21,数理统计的基本概念,基础,填空,03,,pb_21_基础_填空_03_question.png,pb_21_基础_填空_03_solution.png,1
007,21,数理统计的基本概念,基础,填空,04,,pb_21_基础_填空_04_question.png,pb_21_基础_填空_04_solution.png,1
008,21,数理统计的基本概念,基础,填空,05,,pb_21_基础_填空_05_question.png,pb_21_基础_填空_05_solution.png,1
009,21,数理统计的基本概念,基础,解答,01,,pb_21_基础_解答_01_question.png,pb_21_基础_解答_01_solution_1.png;pb_21_基础_解答_01_solution_2.png,2
010,21,数理统计的基本概念,基础,解答,02,(1),pb_21_基础_解答_02_(1)_question.png,pb_21_基础_解答_02_(1)_solution.png,1
011,21,数理统计的基本概念,基础,解答,02,(2),pb_21_基础_解答_02_(2)_question.png,pb_21_基础_解答_02_(2)_solution.png,1
012,21,数理统计的基本概念,基础,解答,02,(3),pb_21_基础_解答_02_(3)_question.png,pb_21_基础_解答_02_(3)_solution.png,1
013,21,数理统计的基本概念,综合,选择,01,,pb_21_综合_选择_01_question.png,pb_21_综合_选择_01_solution.png,1
014,21,数理统计的基本概念,综合,选择,02,,pb_21_综合_选择_02_question.png,pb_21_综合_选择_02_solution_1.png;pb_21_综合_选择_02_solution_2.png,2
015,21,数理统计的基本概念,综合,选择,03,,pb_21_综合_选择_03_question.png,pb_21_综合_选择_03_solution.png,1
016,21,数理统计的基本概念,综合,选择,04,,pb_21_综合_选择_04_question.png,pb_21_综合_选择_04_solution.png,1
017,21,数理统计的基本概念,综合,选择,05,,pb_21_综合_选择_05_question.png,pb_21_综合_选择_05_solution.png,1
018,21,数理统计的基本概念,综合,选择,06,,pb_21_综合_选择_06_question.png,pb_21_综合_选择_06_solution.png,1
019,21,数理统计的基本概念,综合,选择,07,,pb_21_综合_选择_07_question.png,pb_21_综合_选择_07_solution.png,1
020,21,数理统计的基本概念,综合,填空,01,,pb_21_综合_填空_01_question.png,pb_21_综合_填空_01_solution_1.png;pb_21_综合_填空_01_solution_2.png,2
021,21,数理统计的基本概念,综合,填空,02,,pb_21_综合_填空_02_question.png,pb_21_综合_填空_02_solution.png,1
022,21,数理统计的基本概念,综合,解答,01,(1),pb_21_综合_解答_01_(1)_question.png,pb_21_综合_解答_01_(1)_solution.png,1
023,21,数理统计的基本概念,综合,解答,01,(2),pb_21_综合_解答_01_(2)_question.png,pb_21_综合_解答_01_(2)_solution.png,1
024,21,数理统计的基本概念,综合,解答,01,(3),pb_21_综合_解答_01_(3)_question.png,pb_21_综合_解答_01_(3)_solution.png,1
025,21,数理统计的基本概念,综合,解答,02,,pb_21_综合_解答_02_question.png,pb_21_综合_解答_02_solution_1.png;pb_21_综合_解答_02_solution_2.png,2
026,21,数理统计的基本概念,综合,解答,03,(1),pb_21_综合_解答_03_(1)_question.png,pb_21_综合_解答_03_(1)_solution.png,1
027,21,数理统计的基本概念,综合,解答,03,(2),pb_21_综合_解答_03_(2)_question.png,pb_21_综合_解答_03_(2)_solution.png,1
028,21,数理统计的基本概念,综合,解答,04,(1),pb_21_综合_解答_04_(1)_question.png,pb_21_综合_解答_04_(1)_solution.png,1
029,21,数理统计的基本概念,综合,解答,04,(2),pb_21_综合_解答_04_(2)_question.png,pb_21_综合_解答_04_(2)_solution.png,1
030,21,数理统计的基本概念,综合,解答,04,(3),pb_21_综合_解答_04_(3)_question.png,pb_21_综合_解答_04_(3)_solution.png,1
