asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,22,参数估计,基础,填空,01,,pb_22_基础_填空_01_question.png,pb_22_基础_填空_01_solution.png,1
002,22,参数估计,基础,填空,02,,pb_22_基础_填空_02_question.png,pb_22_基础_填空_02_solution.png,1
003,22,参数估计,基础,填空,03,,pb_22_基础_填空_03_question.png,pb_22_基础_填空_03_solution.png,1
004,22,参数估计,基础,解答,01,,pb_22_基础_解答_01_question.png,pb_22_基础_解答_01_solution_1.png;pb_22_基础_解答_01_solution_2.png,2
005,22,参数估计,基础,解答,02,,pb_22_基础_解答_02_question.png,pb_22_基础_解答_02_solution.png,1
006,22,参数估计,基础,解答,03,(1),pb_22_基础_解答_03_(1)_question.png,pb_22_基础_解答_03_(1)_solution.png,1
007,22,参数估计,基础,解答,03,(2),pb_22_基础_解答_03_(2)_question.png,pb_22_基础_解答_03_(2)_solution.png,1
008,22,参数估计,基础,解答,04,,pb_22_基础_解答_04_question.png,pb_22_基础_解答_04_solution.png,1
009,22,参数估计,基础,解答,05,(1),pb_22_基础_解答_05_(1)_question.png,pb_22_基础_解答_05_(1)_solution.png,1
010,22,参数估计,基础,解答,05,(2),pb_22_基础_解答_05_(2)_question.png,pb_22_基础_解答_05_(2)_solution_1.png;pb_22_基础_解答_05_(2)_solution_2.png,2
011,22,参数估计,基础,解答,06,(1),pb_22_基础_解答_06_(1)_question.png,pb_22_基础_解答_06_(1)_solution.png,1
012,22,参数估计,基础,解答,06,(2),pb_22_基础_解答_06_(2)_question.png,pb_22_基础_解答_06_(2)_solution.png,1
013,22,参数估计,基础,解答,07,(1),pb_22_基础_解答_07_(1)_question.png,pb_22_基础_解答_07_(1)_solution.png,1
014,22,参数估计,基础,解答,07,(2),pb_22_基础_解答_07_(2)_question.png,pb_22_基础_解答_07_(2)_solution.png,1
015,22,参数估计,基础,解答,08,(1),pb_22_基础_解答_08_(1)_question.png,pb_22_基础_解答_08_(1)_solution_1.png;pb_22_基础_解答_08_(1)_solution_2.png,2
016,22,参数估计,基础,解答,08,(2),pb_22_基础_解答_08_(2)_question.png,pb_22_基础_解答_08_(2)_solution.png,1
