asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,10,行列式,基础,选择,01,,pb_10_基础_选择_01_question.png,pb_10_基础_选择_01_solution.png,1
002,10,行列式,基础,选择,02,,pb_10_基础_选择_02_question.png,pb_10_基础_选择_02_solution.png,1
003,10,行列式,基础,选择,03,,pb_10_基础_选择_03_question.png,pb_10_基础_选择_03_solution.png,1
004,10,行列式,基础,填空,01,,pb_10_基础_填空_01_question.png,pb_10_基础_填空_01_solution_1.png|pb_10_基础_填空_01_solution_2.png,2
005,10,行列式,基础,填空,02,,pb_10_基础_填空_02_question.png,pb_10_基础_填空_02_solution.png,1
006,10,行列式,基础,填空,03,,pb_10_基础_填空_03_question.png,pb_10_基础_填空_03_solution.png,1
007,10,行列式,基础,填空,04,,pb_10_基础_填空_04_question.png,pb_10_基础_填空_04_solution.png,1
008,10,行列式,基础,填空,05,,pb_10_基础_填空_05_question.png,pb_10_基础_填空_05_solution.png,1
009,10,行列式,基础,填空,06,,pb_10_基础_填空_06_question.png,pb_10_基础_填空_06_solution.png,1
010,10,行列式,基础,填空,07,,pb_10_基础_填空_07_question.png,pb_10_基础_填空_07_solution_1.png|pb_10_基础_填空_07_solution_2.png,2
011,10,行列式,基础,填空,08,,pb_10_基础_填空_08_question.png,pb_10_基础_填空_08_solution.png,1
012,10,行列式,基础,填空,09,,pb_10_基础_填空_09_question.png,pb_10_基础_填空_09_solution.png,1
013,10,行列式,基础,填空,10,,pb_10_基础_填空_10_question.png,pb_10_基础_填空_10_solution.png,1
014,10,行列式,基础,填空,11,,pb_10_基础_填空_11_question.png,pb_10_基础_填空_11_solution.png,1
015,10,行列式,基础,解答,01,,pb_10_基础_解答_01_question.png,pb_10_基础_解答_01_solution_1.png|pb_10_基础_解答_01_solution_2.png,2
016,10,行列式,基础,解答,02,,pb_10_基础_解答_02_question.png,pb_10_基础_解答_02_solution.png,1
017,10,行列式,基础,解答,03,,pb_10_基础_解答_03_question.png,pb_10_基础_解答_03_solution.png,1
018,10,行列式,综合,选择,01,,pb_10_综合_选择_01_question.png,pb_10_综合_选择_01_solution_1.png|pb_10_综合_选择_01_solution_2.png,2
019,10,行列式,综合,选择,02,,pb_10_综合_选择_02_question.png,pb_10_综合_选择_02_solution.png,1
020,10,行列式,综合,选择,03,,pb_10_综合_选择_03_question.png,pb_10_综合_选择_03_solution.png,1
021,10,行列式,综合,填空,01,,pb_10_综合_填空_01_question.png,pb_10_综合_填空_01_solution_1.png|pb_10_综合_填空_01_solution_2.png,2
022,10,行列式,综合,填空,02,,pb_10_综合_填空_02_question.png,pb_10_综合_填空_02_solution.png,1
023,10,行列式,综合,填空,03,,pb_10_综合_填空_03_question.png,pb_10_综合_填空_03_solution.png,1
024,10,行列式,综合,填空,04,,pb_10_综合_填空_04_question.png,pb_10_综合_填空_04_solution_1.png|pb_10_综合_填空_04_solution_2.png,2
025,10,行列式,综合,填空,05,,pb_10_综合_填空_05_question.png,pb_10_综合_填空_05_solution.png,1
026,10,行列式,综合,填空,06,,pb_10_综合_填空_06_question.png,pb_10_综合_填空_06_solution.png,1
027,10,行列式,综合,解答,01,,pb_10_综合_解答_01_question.png,pb_10_综合_解答_01_solution_1.png|pb_10_综合_解答_01_solution_2.png,2
028,10,行列式,综合,解答,02,,pb_10_综合_解答_02_question.png,pb_10_综合_解答_02_solution.png,1
029,10,行列式,综合,解答,03,,pb_10_综合_解答_03_question.png,pb_10_综合_解答_03_solution.png,1
030,10,行列式,综合,解答,04,,pb_10_综合_解答_04_question.png,pb_10_综合_解答_04_solution_1.png|pb_10_综合_解答_04_solution_2.png,2
031,10,行列式,拓展,解答,01,,pb_10_拓展_解答_01_question.png,pb_10_拓展_解答_01_solution.png,1
032,10,行列式,拓展,解答,02,(I),pb_10_拓展_解答_02_(I)_question.png,pb_10_拓展_解答_02_(I)_solution.png,1
033,10,行列式,拓展,解答,02,(II),pb_10_拓展_解答_02_(II)_question.png,pb_10_拓展_解答_02_(II)_solution.png,1
