page,angle_detected_deg,angle_applied_deg,residual_deg,line_samples_before,line_samples_after
P01,0.2998,0.2998,0.0,37,48
P02,-0.1443,-0.1443,-0.0764,47,51
P03,0.397,0.397,0.0,70,93
P04,-0.2685,-0.2685,0.0,64,85
P05,-0.3058,-0.3058,0.0,101,132
P06,0.0,0.0,0.0,59,59
P07,0.1145,0.1145,0.0,55,76
P08,0.2301,0.2301,0.0,56,66
P09,-0.192,-0.192,0.0,69,80
P10,0.0,0.0,0.0,59,59
P11,0.0,0.0,0.0,108,108
P12,0.3031,0.3031,0.0,91,100
P13,-0.3256,-0.3256,0.0,104,120
P14,0.3072,0.3072,0.0,53,58
P15,-0.3056,-0.3056,0.0,53,80
P16,0.5953,0.5953,0.0,44,51
P17,-0.4224,-0.4224,0.0,51,87
