asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,11,矩阵,基础,选择,01,,pb_11_基础_选择_01_question.png,pb_11_基础_选择_01_solution.png,1
002,11,矩阵,基础,选择,02,,pb_11_基础_选择_02_question.png,pb_11_基础_选择_02_solution.png,1
003,11,矩阵,基础,选择,03,,pb_11_基础_选择_03_question.png,pb_11_基础_选择_03_solution.png,1
004,11,矩阵,基础,选择,04,,pb_11_基础_选择_04_question.png,pb_11_基础_选择_04_solution.png,1
005,11,矩阵,基础,选择,05,,pb_11_基础_选择_05_question.png,pb_11_基础_选择_05_solution.png,1
006,11,矩阵,基础,选择,06,,pb_11_基础_选择_06_question.png,pb_11_基础_选择_06_solution_1.png|pb_11_基础_选择_06_solution_2.png,2
007,11,矩阵,基础,填空,01,,pb_11_基础_填空_01_question.png,pb_11_基础_填空_01_solution.png,1
008,11,矩阵,基础,填空,02,,pb_11_基础_填空_02_question.png,pb_11_基础_填空_02_solution.png,1
009,11,矩阵,基础,填空,03,,pb_11_基础_填空_03_question.png,pb_11_基础_填空_03_solution.png,1
010,11,矩阵,基础,填空,04,,pb_11_基础_填空_04_question.png,pb_11_基础_填空_04_solution.png,1
011,11,矩阵,基础,填空,05,,pb_11_基础_填空_05_question.png,pb_11_基础_填空_05_solution.png,1
012,11,矩阵,基础,填空,06,,pb_11_基础_填空_06_question.png,pb_11_基础_填空_06_solution.png,1
013,11,矩阵,基础,填空,07,,pb_11_基础_填空_07_question.png,pb_11_基础_填空_07_solution.png,1
014,11,矩阵,基础,填空,08,,pb_11_基础_填空_08_question.png,pb_11_基础_填空_08_solution.png,1
015,11,矩阵,基础,填空,09,,pb_11_基础_填空_09_question.png,pb_11_基础_填空_09_solution.png,1
016,11,矩阵,基础,填空,10,,pb_11_基础_填空_10_question.png,pb_11_基础_填空_10_solution_1.png|pb_11_基础_填空_10_solution_2.png,2
017,11,矩阵,基础,填空,11,,pb_11_基础_填空_11_question.png,pb_11_基础_填空_11_solution.png,1
018,11,矩阵,基础,解答,01,,pb_11_基础_解答_01_question.png,pb_11_基础_解答_01_solution.png,1
019,11,矩阵,基础,解答,02,,pb_11_基础_解答_02_question.png,pb_11_基础_解答_02_solution.png,1
020,11,矩阵,基础,解答,03,,pb_11_基础_解答_03_question.png,pb_11_基础_解答_03_solution.png,1
021,11,矩阵,基础,解答,04,,pb_11_基础_解答_04_question.png,pb_11_基础_解答_04_solution.png,1
022,11,矩阵,基础,解答,05,,pb_11_基础_解答_05_question.png,pb_11_基础_解答_05_solution.png,1
023,11,矩阵,基础,解答,06,,pb_11_基础_解答_06_question.png,pb_11_基础_解答_06_solution.png,1
024,11,矩阵,基础,解答,07,,pb_11_基础_解答_07_question.png,pb_11_基础_解答_07_solution.png,1
025,11,矩阵,基础,解答,08,,pb_11_基础_解答_08_question.png,pb_11_基础_解答_08_solution_1.png|pb_11_基础_解答_08_solution_2.png,2
026,11,矩阵,基础,解答,09,,pb_11_基础_解答_09_question.png,pb_11_基础_解答_09_solution.png,1
027,11,矩阵,基础,解答,10,,pb_11_基础_解答_10_question.png,pb_11_基础_解答_10_solution.png,1
028,11,矩阵,基础,解答,11,,pb_11_基础_解答_11_question.png,pb_11_基础_解答_11_solution.png,1
029,11,矩阵,综合,选择,01,,pb_11_综合_选择_01_question.png,pb_11_综合_选择_01_solution.png,1
030,11,矩阵,综合,选择,02,,pb_11_综合_选择_02_question.png,pb_11_综合_选择_02_solution.png,1
031,11,矩阵,综合,选择,03,,pb_11_综合_选择_03_question.png,pb_11_综合_选择_03_solution.png,1
032,11,矩阵,综合,选择,04,,pb_11_综合_选择_04_question.png,pb_11_综合_选择_04_solution.png,1
033,11,矩阵,综合,选择,05,,pb_11_综合_选择_05_question.png,pb_11_综合_选择_05_solution_1.png|pb_11_综合_选择_05_solution_2.png,2
034,11,矩阵,综合,选择,06,,pb_11_综合_选择_06_question.png,pb_11_综合_选择_06_solution.png,1
035,11,矩阵,综合,选择,07,,pb_11_综合_选择_07_question.png,pb_11_综合_选择_07_solution.png,1
036,11,矩阵,综合,填空,01,,pb_11_综合_填空_01_question.png,pb_11_综合_填空_01_solution.png,1
037,11,矩阵,综合,填空,02,,pb_11_综合_填空_02_question.png,pb_11_综合_填空_02_solution_1.png|pb_11_综合_填空_02_solution_2.png,2
038,11,矩阵,综合,填空,03,,pb_11_综合_填空_03_question.png,pb_11_综合_填空_03_solution.png,1
039,11,矩阵,综合,填空,04,,pb_11_综合_填空_04_question.png,pb_11_综合_填空_04_solution_1.png|pb_11_综合_填空_04_solution_2.png,2
040,11,矩阵,综合,填空,05,,pb_11_综合_填空_05_question.png,pb_11_综合_填空_05_solution.png,1
041,11,矩阵,综合,填空,06,,pb_11_综合_填空_06_question.png,pb_11_综合_填空_06_solution.png,1
042,11,矩阵,综合,解答,01,,pb_11_综合_解答_01_question.png,pb_11_综合_解答_01_solution.png,1
043,11,矩阵,综合,解答,02,,pb_11_综合_解答_02_question.png,pb_11_综合_解答_02_solution.png,1
044,11,矩阵,综合,解答,03,,pb_11_综合_解答_03_question.png,pb_11_综合_解答_03_solution.png,1
045,11,矩阵,综合,解答,04,,pb_11_综合_解答_04_question.png,pb_11_综合_解答_04_solution.png,1
046,11,矩阵,拓展,解答,01,,pb_11_拓展_解答_01_question.png,pb_11_拓展_解答_01_solution.png,1
047,11,矩阵,拓展,解答,02,,pb_11_拓展_解答_02_question.png,pb_11_拓展_解答_02_solution.png,1
