page,hough_deg,projection_deg,green_rule_deg,median_deg,applied_deg,render_width,render_height
P01,0.044,-0.060,0.104,0.044,0.000,1536,2261
P02,-0.004,-0.080,-0.072,-0.072,0.000,1536,2291
P03,-0.016,-0.080,0.110,-0.016,0.000,1536,2263
P04,-0.026,-0.070,-0.019,-0.026,0.000,1536,2287
P05,0.357,0.338,0.208,0.338,0.338,1536,2170
P06,-0.260,-0.307,-0.188,-0.260,-0.260,1536,2170
P07,0.113,0.260,0.056,0.113,0.113,1536,2170
P08,-0.184,-0.165,-0.061,-0.165,-0.165,1536,2170
P09,0.058,0.153,0.093,0.093,0.093,1536,2170
P10,-0.006,-0.082,-0.051,-0.051,0.000,1536,2170
P11,0.043,0.098,0.119,0.098,0.098,1536,2170
P12,-0.108,-0.102,-0.101,-0.102,-0.102,1536,2170
P13,0.107,-0.060,0.053,0.053,0.000,1536,2170
P14,-0.084,-0.077,-0.054,-0.077,0.000,1536,2170
P15,-0.017,-0.060,-0.067,-0.060,0.000,1536,2170
P16,-0.006,0.145,0.056,0.056,0.000,1536,2170
P17,0.030,0.098,0.107,0.098,0.098,1536,2170
