asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
1,13,线性方程组,基础,选择,01,,pb_13_基础_选择_01_question.png,pb_13_基础_选择_01_solution.png,1
2,13,线性方程组,基础,选择,02,,pb_13_基础_选择_02_question.png,pb_13_基础_选择_02_solution.png,1
3,13,线性方程组,基础,选择,03,,pb_13_基础_选择_03_question.png,pb_13_基础_选择_03_solution.png,1
4,13,线性方程组,基础,选择,04,,pb_13_基础_选择_04_question.png,pb_13_基础_选择_04_solution_1.png;pb_13_基础_选择_04_solution_2.png,2
5,13,线性方程组,基础,选择,05,,pb_13_基础_选择_05_question.png,pb_13_基础_选择_05_solution.png,1
6,13,线性方程组,基础,选择,06,,pb_13_基础_选择_06_question.png,pb_13_基础_选择_06_solution.png,1
7,13,线性方程组,基础,选择,07,,pb_13_基础_选择_07_question.png,pb_13_基础_选择_07_solution.png,1
8,13,线性方程组,基础,选择,08,,pb_13_基础_选择_08_question.png,pb_13_基础_选择_08_solution.png,1
9,13,线性方程组,基础,选择,09,,pb_13_基础_选择_09_question.png,pb_13_基础_选择_09_solution_1.png;pb_13_基础_选择_09_solution_2.png,2
10,13,线性方程组,基础,选择,10,,pb_13_基础_选择_10_question.png,pb_13_基础_选择_10_solution.png,1
11,13,线性方程组,基础,选择,11,,pb_13_基础_选择_11_question.png,pb_13_基础_选择_11_solution.png,1
12,13,线性方程组,基础,填空,01,,pb_13_基础_填空_01_question.png,pb_13_基础_填空_01_solution.png,1
13,13,线性方程组,基础,填空,02,,pb_13_基础_填空_02_question.png,pb_13_基础_填空_02_solution_1.png;pb_13_基础_填空_02_solution_2.png,2
14,13,线性方程组,基础,解答,01,,pb_13_基础_解答_01_question.png,pb_13_基础_解答_01_solution.png,1
15,13,线性方程组,基础,解答,02,,pb_13_基础_解答_02_question.png,pb_13_基础_解答_02_solution.png,1
16,13,线性方程组,基础,解答,03,(1),pb_13_基础_解答_03_(1)_question.png,pb_13_基础_解答_03_(1)_solution.png,1
17,13,线性方程组,基础,解答,03,(2),pb_13_基础_解答_03_(2)_question.png,pb_13_基础_解答_03_(2)_solution.png,1
18,13,线性方程组,基础,解答,04,,pb_13_基础_解答_04_question.png,pb_13_基础_解答_04_solution.png,1
19,13,线性方程组,基础,解答,05,(1),pb_13_基础_解答_05_(1)_question.png,pb_13_基础_解答_05_(1)_solution.png,1
20,13,线性方程组,基础,解答,05,(2),pb_13_基础_解答_05_(2)_question.png,pb_13_基础_解答_05_(2)_solution_1.png;pb_13_基础_解答_05_(2)_solution_2.png,2
21,13,线性方程组,基础,解答,06,,pb_13_基础_解答_06_question.png,pb_13_基础_解答_06_solution.png,1
22,13,线性方程组,基础,解答,07,,pb_13_基础_解答_07_question.png,pb_13_基础_解答_07_solution.png,1
23,13,线性方程组,综合,选择,01,,pb_13_综合_选择_01_question.png,pb_13_综合_选择_01_solution_1.png;pb_13_综合_选择_01_solution_2.png,2
24,13,线性方程组,综合,选择,02,,pb_13_综合_选择_02_question.png,pb_13_综合_选择_02_solution.png,1
25,13,线性方程组,综合,选择,03,,pb_13_综合_选择_03_question.png,pb_13_综合_选择_03_solution.png,1
26,13,线性方程组,综合,选择,04,,pb_13_综合_选择_04_question.png,pb_13_综合_选择_04_solution_1.png;pb_13_综合_选择_04_solution_2.png,2
27,13,线性方程组,综合,选择,05,,pb_13_综合_选择_05_question.png,pb_13_综合_选择_05_solution.png,1
28,13,线性方程组,综合,选择,06,,pb_13_综合_选择_06_question.png,pb_13_综合_选择_06_solution.png,1
29,13,线性方程组,综合,选择,07,,pb_13_综合_选择_07_question.png,pb_13_综合_选择_07_solution.png,1
30,13,线性方程组,综合,选择,08,,pb_13_综合_选择_08_question.png,pb_13_综合_选择_08_solution_1.png;pb_13_综合_选择_08_solution_2.png,2
31,13,线性方程组,综合,选择,09,,pb_13_综合_选择_09_question.png,pb_13_综合_选择_09_solution.png,1
32,13,线性方程组,综合,选择,10,,pb_13_综合_选择_10_question.png,pb_13_综合_选择_10_solution_1.png;pb_13_综合_选择_10_solution_2.png,2
33,13,线性方程组,综合,填空,01,,pb_13_综合_填空_01_question.png,pb_13_综合_填空_01_solution.png,1
34,13,线性方程组,综合,填空,02,,pb_13_综合_填空_02_question.png,pb_13_综合_填空_02_solution.png,1
35,13,线性方程组,综合,填空,03,,pb_13_综合_填空_03_question.png,pb_13_综合_填空_03_solution.png,1
36,13,线性方程组,综合,解答,01,,pb_13_综合_解答_01_question.png,pb_13_综合_解答_01_solution_1.png;pb_13_综合_解答_01_solution_2.png,2
37,13,线性方程组,综合,解答,02,(1),pb_13_综合_解答_02_(1)_question.png,pb_13_综合_解答_02_(1)_solution.png,1
38,13,线性方程组,综合,解答,02,(2),pb_13_综合_解答_02_(2)_question.png,pb_13_综合_解答_02_(2)_solution.png,1
39,13,线性方程组,综合,解答,03,,pb_13_综合_解答_03_question.png,pb_13_综合_解答_03_solution_1.png;pb_13_综合_解答_03_solution_2.png,2
40,13,线性方程组,综合,解答,04,,pb_13_综合_解答_04_question.png,pb_13_综合_解答_04_solution.png,1
41,13,线性方程组,综合,解答,05,(1),pb_13_综合_解答_05_(1)_question.png,pb_13_综合_解答_05_(1)_solution.png,1
42,13,线性方程组,综合,解答,05,(2),pb_13_综合_解答_05_(2)_question.png,pb_13_综合_解答_05_(2)_solution.png,1
43,13,线性方程组,综合,解答,06,(1),pb_13_综合_解答_06_(1)_question.png,pb_13_综合_解答_06_(1)_solution.png,1
44,13,线性方程组,综合,解答,06,(2),pb_13_综合_解答_06_(2)_question.png,pb_13_综合_解答_06_(2)_solution_1.png;pb_13_综合_解答_06_(2)_solution_2.png,2
45,13,线性方程组,综合,解答,07,(1),pb_13_综合_解答_07_(1)_question.png,pb_13_综合_解答_07_(1)_solution.png,1
46,13,线性方程组,综合,解答,07,(2),pb_13_综合_解答_07_(2)_question.png,pb_13_综合_解答_07_(2)_solution.png,1
47,13,线性方程组,综合,解答,08,(1),pb_13_综合_解答_08_(1)_question.png,pb_13_综合_解答_08_(1)_solution_1.png;pb_13_综合_解答_08_(1)_solution_2.png,2
48,13,线性方程组,综合,解答,08,(2),pb_13_综合_解答_08_(2)_question.png,pb_13_综合_解答_08_(2)_solution.png,1
49,13,线性方程组,拓展,解答,01,,pb_13_拓展_解答_01_question.png,pb_13_拓展_解答_01_solution.png,1
50,13,线性方程组,拓展,解答,02,,pb_13_拓展_解答_02_question.png,pb_13_拓展_解答_02_solution.png,1
51,13,线性方程组,拓展,解答,03,(1),pb_13_拓展_解答_03_(1)_question.png,pb_13_拓展_解答_03_(1)_solution_1.png;pb_13_拓展_解答_03_(1)_solution_2.png,2
52,13,线性方程组,拓展,解答,03,(2),pb_13_拓展_解答_03_(2)_question.png,pb_13_拓展_解答_03_(2)_solution.png,1
