asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
1,14,相似矩阵,基础,选择,01,,pb_14_基础_选择_01_question.png,pb_14_基础_选择_01_solution.png,1
2,14,相似矩阵,基础,选择,02,,pb_14_基础_选择_02_question.png,pb_14_基础_选择_02_solution.png,1
3,14,相似矩阵,基础,选择,03,,pb_14_基础_选择_03_question.png,pb_14_基础_选择_03_solution_1.png|pb_14_基础_选择_03_solution_2.png,2
4,14,相似矩阵,基础,选择,04,,pb_14_基础_选择_04_question.png,pb_14_基础_选择_04_solution.png,1
5,14,相似矩阵,基础,选择,05,,pb_14_基础_选择_05_question.png,pb_14_基础_选择_05_solution.png,1
6,14,相似矩阵,基础,选择,06,,pb_14_基础_选择_06_question.png,pb_14_基础_选择_06_solution.png,1
7,14,相似矩阵,基础,填空,01,,pb_14_基础_填空_01_question.png,pb_14_基础_填空_01_solution.png,1
8,14,相似矩阵,基础,填空,02,,pb_14_基础_填空_02_question.png,pb_14_基础_填空_02_solution_1.png|pb_14_基础_填空_02_solution_2.png,2
9,14,相似矩阵,基础,填空,03,,pb_14_基础_填空_03_question.png,pb_14_基础_填空_03_solution.png,1
10,14,相似矩阵,基础,填空,04,,pb_14_基础_填空_04_question.png,pb_14_基础_填空_04_solution.png,1
11,14,相似矩阵,基础,解答,01,(1),pb_14_基础_解答_01_(1)_question.png,pb_14_基础_解答_01_(1)_solution_1.png|pb_14_基础_解答_01_(1)_solution_2.png,2
12,14,相似矩阵,基础,解答,01,(2),pb_14_基础_解答_01_(2)_question.png,pb_14_基础_解答_01_(2)_solution_1.png|pb_14_基础_解答_01_(2)_solution_2.png,2
13,14,相似矩阵,基础,解答,01,(3),pb_14_基础_解答_01_(3)_question.png,pb_14_基础_解答_01_(3)_solution_1.png|pb_14_基础_解答_01_(3)_solution_2.png,2
14,14,相似矩阵,基础,解答,02,(1),pb_14_基础_解答_02_(1)_question.png,pb_14_基础_解答_02_(1)_solution_1.png|pb_14_基础_解答_02_(1)_solution_2.png,2
15,14,相似矩阵,基础,解答,02,(2),pb_14_基础_解答_02_(2)_question.png,pb_14_基础_解答_02_(2)_solution_1.png|pb_14_基础_解答_02_(2)_solution_2.png,2
16,14,相似矩阵,基础,解答,03,(1),pb_14_基础_解答_03_(1)_question.png,pb_14_基础_解答_03_(1)_solution.png,1
17,14,相似矩阵,基础,解答,03,(2),pb_14_基础_解答_03_(2)_question.png,pb_14_基础_解答_03_(2)_solution.png,1
18,14,相似矩阵,基础,解答,04,,pb_14_基础_解答_04_question.png,pb_14_基础_解答_04_solution.png,1
19,14,相似矩阵,基础,解答,05,(1),pb_14_基础_解答_05_(1)_question.png,pb_14_基础_解答_05_(1)_solution_1.png|pb_14_基础_解答_05_(1)_solution_2.png,2
20,14,相似矩阵,基础,解答,05,(2),pb_14_基础_解答_05_(2)_question.png,pb_14_基础_解答_05_(2)_solution_1.png|pb_14_基础_解答_05_(2)_solution_2.png,2
21,14,相似矩阵,基础,解答,06,(1),pb_14_基础_解答_06_(1)_question.png,pb_14_基础_解答_06_(1)_solution.png,1
22,14,相似矩阵,基础,解答,06,(2),pb_14_基础_解答_06_(2)_question.png,pb_14_基础_解答_06_(2)_solution.png,1
23,14,相似矩阵,基础,解答,07,,pb_14_基础_解答_07_question.png,pb_14_基础_解答_07_solution_1.png|pb_14_基础_解答_07_solution_2.png,2
24,14,相似矩阵,基础,解答,08,(1),pb_14_基础_解答_08_(1)_question.png,pb_14_基础_解答_08_(1)_solution_1.png|pb_14_基础_解答_08_(1)_solution_2.png,2
25,14,相似矩阵,基础,解答,08,(2),pb_14_基础_解答_08_(2)_question.png,pb_14_基础_解答_08_(2)_solution_1.png|pb_14_基础_解答_08_(2)_solution_2.png,2
26,14,相似矩阵,基础,解答,08,(3),pb_14_基础_解答_08_(3)_question.png,pb_14_基础_解答_08_(3)_solution_1.png|pb_14_基础_解答_08_(3)_solution_2.png,2
27,14,相似矩阵,基础,解答,09,(1),pb_14_基础_解答_09_(1)_question.png,pb_14_基础_解答_09_(1)_solution_1.png|pb_14_基础_解答_09_(1)_solution_2.png,2
28,14,相似矩阵,基础,解答,09,(2),pb_14_基础_解答_09_(2)_question.png,pb_14_基础_解答_09_(2)_solution_1.png|pb_14_基础_解答_09_(2)_solution_2.png,2
29,14,相似矩阵,基础,解答,10,(1),pb_14_基础_解答_10_(1)_question.png,pb_14_基础_解答_10_(1)_solution_1.png|pb_14_基础_解答_10_(1)_solution_2.png,2
