asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,15,二次型,基础,选择,01,,pb_15_基础_选择_01_question.png,pb_15_基础_选择_01_solution.png,1
002,15,二次型,基础,选择,02,,pb_15_基础_选择_02_question.png,pb_15_基础_选择_02_solution.png,1
003,15,二次型,基础,选择,03,,pb_15_基础_选择_03_question.png,pb_15_基础_选择_03_solution.png,1
004,15,二次型,基础,选择,04,,pb_15_基础_选择_04_question.png,pb_15_基础_选择_04_solution.png,1
005,15,二次型,基础,选择,05,,pb_15_基础_选择_05_question.png,pb_15_基础_选择_05_solution.png,1
006,15,二次型,基础,选择,06,,pb_15_基础_选择_06_question.png,pb_15_基础_选择_06_solution.png,1
007,15,二次型,基础,选择,07,,pb_15_基础_选择_07_question.png,pb_15_基础_选择_07_solution.png,1
008,15,二次型,基础,选择,08,,pb_15_基础_选择_08_question.png,pb_15_基础_选择_08_solution_1.png|pb_15_基础_选择_08_solution_2.png,2
009,15,二次型,基础,选择,09,,pb_15_基础_选择_09_question.png,pb_15_基础_选择_09_solution.png,1
010,15,二次型,基础,选择,10,,pb_15_基础_选择_10_question.png,pb_15_基础_选择_10_solution.png,1
011,15,二次型,基础,填空,01,,pb_15_基础_填空_01_question.png,pb_15_基础_填空_01_solution.png,1
012,15,二次型,基础,填空,02,,pb_15_基础_填空_02_question.png,pb_15_基础_填空_02_solution.png,1
013,15,二次型,基础,解答,01,(1),pb_15_基础_解答_01_(1)_question.png,pb_15_基础_解答_01_(1)_solution_1.png|pb_15_基础_解答_01_(1)_solution_2.png,2
014,15,二次型,基础,解答,01,(2),pb_15_基础_解答_01_(2)_question.png,pb_15_基础_解答_01_(2)_solution.png,1
015,15,二次型,基础,解答,02,,pb_15_基础_解答_02_question.png,pb_15_基础_解答_02_solution.png,1
016,15,二次型,基础,解答,03,(1),pb_15_基础_解答_03_(1)_question.png,pb_15_基础_解答_03_(1)_solution_1.png|pb_15_基础_解答_03_(1)_solution_2.png,2
017,15,二次型,基础,解答,03,(2),pb_15_基础_解答_03_(2)_question.png,pb_15_基础_解答_03_(2)_solution.png,1
018,15,二次型,基础,解答,04,(1),pb_15_基础_解答_04_(1)_question.png,pb_15_基础_解答_04_(1)_solution.png,1
019,15,二次型,基础,解答,04,(2),pb_15_基础_解答_04_(2)_question.png,pb_15_基础_解答_04_(2)_solution.png,1
020,15,二次型,基础,解答,04,(3),pb_15_基础_解答_04_(3)_question.png,pb_15_基础_解答_04_(3)_solution_1.png|pb_15_基础_解答_04_(3)_solution_2.png,2
021,15,二次型,基础,解答,05,(1),pb_15_基础_解答_05_(1)_question.png,pb_15_基础_解答_05_(1)_solution.png,1
022,15,二次型,基础,解答,05,(2),pb_15_基础_解答_05_(2)_question.png,pb_15_基础_解答_05_(2)_solution.png,1
023,15,二次型,基础,解答,06,(1),pb_15_基础_解答_06_(1)_question.png,pb_15_基础_解答_06_(1)_solution_1.png|pb_15_基础_解答_06_(1)_solution_2.png,2
024,15,二次型,基础,解答,06,(2),pb_15_基础_解答_06_(2)_question.png,pb_15_基础_解答_06_(2)_solution.png,1
025,15,二次型,综合,选择,01,,pb_15_综合_选择_01_question.png,pb_15_综合_选择_01_solution_1.png|pb_15_综合_选择_01_solution_2.png,2
026,15,二次型,综合,选择,02,,pb_15_综合_选择_02_question.png,pb_15_综合_选择_02_solution.png,1
027,15,二次型,综合,选择,03,,pb_15_综合_选择_03_question.png,pb_15_综合_选择_03_solution_1.png|pb_15_综合_选择_03_solution_2.png,2
028,15,二次型,综合,选择,04,,pb_15_综合_选择_04_question.png,pb_15_综合_选择_04_solution.png,1
029,15,二次型,综合,选择,05,,pb_15_综合_选择_05_question.png,pb_15_综合_选择_05_solution.png,1
030,15,二次型,综合,选择,06,,pb_15_综合_选择_06_question.png,pb_15_综合_选择_06_solution_1.png|pb_15_综合_选择_06_solution_2.png,2
031,15,二次型,综合,选择,07,,pb_15_综合_选择_07_question.png,pb_15_综合_选择_07_solution.png,1
032,15,二次型,综合,选择,08,,pb_15_综合_选择_08_question.png,pb_15_综合_选择_08_solution.png,1
033,15,二次型,综合,选择,09,,pb_15_综合_选择_09_question.png,pb_15_综合_选择_09_solution.png,1
034,15,二次型,综合,选择,10,,pb_15_综合_选择_10_question.png,pb_15_综合_选择_10_solution.png,1
035,15,二次型,综合,选择,11,,pb_15_综合_选择_11_question.png,pb_15_综合_选择_11_solution.png,1
036,15,二次型,综合,选择,12,,pb_15_综合_选择_12_question.png,pb_15_综合_选择_12_solution.png,1
037,15,二次型,综合,填空,01,,pb_15_综合_填空_01_question.png,pb_15_综合_填空_01_solution.png,1
038,15,二次型,综合,填空,02,,pb_15_综合_填空_02_question.png,pb_15_综合_填空_02_solution.png,1
