asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,01,函数、极限、连续,基础,选择,01,,pb_01_基础_选择_01_question.png,pb_01_基础_选择_01_solution.png,1
002,01,函数、极限、连续,基础,选择,02,,pb_01_基础_选择_02_question.png,pb_01_基础_选择_02_solution.png,1
003,01,函数、极限、连续,基础,选择,03,,pb_01_基础_选择_03_question.png,pb_01_基础_选择_03_solution.png,1
004,01,函数、极限、连续,基础,选择,04,,pb_01_基础_选择_04_question.png,pb_01_基础_选择_04_solution.png,1
005,01,函数、极限、连续,基础,选择,05,,pb_01_基础_选择_05_question.png,pb_01_基础_选择_05_solution_1.png;pb_01_基础_选择_05_solution_2.png,2
006,01,函数、极限、连续,基础,选择,06,,pb_01_基础_选择_06_question.png,pb_01_基础_选择_06_solution.png,1
007,01,函数、极限、连续,基础,选择,07,,pb_01_基础_选择_07_question.png,pb_01_基础_选择_07_solution.png,1
008,01,函数、极限、连续,基础,选择,08,,pb_01_基础_选择_08_question.png,pb_01_基础_选择_08_solution.png,1
009,01,函数、极限、连续,基础,选择,09,,pb_01_基础_选择_09_question.png,pb_01_基础_选择_09_solution.png,1
010,01,函数、极限、连续,基础,选择,10,,pb_01_基础_选择_10_question.png,pb_01_基础_选择_10_solution.png,1
011,01,函数、极限、连续,基础,选择,11,,pb_01_基础_选择_11_question.png,pb_01_基础_选择_11_solution.png,1
012,01,函数、极限、连续,基础,选择,12,,pb_01_基础_选择_12_question.png,pb_01_基础_选择_12_solution.png,1
013,01,函数、极限、连续,基础,填空,01,,pb_01_基础_填空_01_question.png,pb_01_基础_填空_01_solution.png,1
014,01,函数、极限、连续,基础,填空,02,,pb_01_基础_填空_02_question.png,pb_01_基础_填空_02_solution.png,1
015,01,函数、极限、连续,基础,填空,03,,pb_01_基础_填空_03_question.png,pb_01_基础_填空_03_solution.png,1
016,01,函数、极限、连续,基础,解答,01,,pb_01_基础_解答_01_question.png,pb_01_基础_解答_01_solution.png,1
017,01,函数、极限、连续,基础,解答,02,(I),pb_01_基础_解答_02_(I)_question.png,pb_01_基础_解答_02_(I)_solution.png,1
018,01,函数、极限、连续,基础,解答,02,(II),pb_01_基础_解答_02_(II)_question.png,pb_01_基础_解答_02_(II)_solution.png,1
019,01,函数、极限、连续,基础,解答,02,(III),pb_01_基础_解答_02_(III)_question.png,pb_01_基础_解答_02_(III)_solution.png,1
020,01,函数、极限、连续,基础,解答,02,(IV),pb_01_基础_解答_02_(IV)_question.png,pb_01_基础_解答_02_(IV)_solution.png,1
021,01,函数、极限、连续,基础,解答,02,(V),pb_01_基础_解答_02_(V)_question.png,pb_01_基础_解答_02_(V)_solution.png,1
022,01,函数、极限、连续,基础,解答,02,(VI),pb_01_基础_解答_02_(VI)_question.png,pb_01_基础_解答_02_(VI)_solution.png,1
023,01,函数、极限、连续,基础,解答,02,(VII),pb_01_基础_解答_02_(VII)_question.png,pb_01_基础_解答_02_(VII)_solution.png,1
024,01,函数、极限、连续,基础,解答,02,(VIII),pb_01_基础_解答_02_(VIII)_question.png,pb_01_基础_解答_02_(VIII)_solution.png,1
025,01,函数、极限、连续,基础,解答,03,(I),pb_01_基础_解答_03_(I)_question.png,pb_01_基础_解答_03_(I)_solution.png,1
026,01,函数、极限、连续,基础,解答,03,(II),pb_01_基础_解答_03_(II)_question.png,pb_01_基础_解答_03_(II)_solution.png,1
027,01,函数、极限、连续,基础,解答,03,(III),pb_01_基础_解答_03_(III)_question.png,pb_01_基础_解答_03_(III)_solution.png,1
028,01,函数、极限、连续,基础,解答,03,(IV),pb_01_基础_解答_03_(IV)_question.png,pb_01_基础_解答_03_(IV)_solution.png,1
029,01,函数、极限、连续,基础,解答,03,(V),pb_01_基础_解答_03_(V)_question.png,pb_01_基础_解答_03_(V)_solution_1.png;pb_01_基础_解答_03_(V)_solution_2.png,2
030,01,函数、极限、连续,基础,解答,04,,pb_01_基础_解答_04_question.png,pb_01_基础_解答_04_solution.png,1
031,01,函数、极限、连续,基础,解答,05,,pb_01_基础_解答_05_question.png,pb_01_基础_解答_05_solution.png,1
032,01,函数、极限、连续,综合,选择,01,,pb_01_综合_选择_01_question.png,pb_01_综合_选择_01_solution.png,1
033,01,函数、极限、连续,综合,选择,02,,pb_01_综合_选择_02_question.png,pb_01_综合_选择_02_solution.png,1
034,01,函数、极限、连续,综合,选择,03,,pb_01_综合_选择_03_question.png,pb_01_综合_选择_03_solution_1.png;pb_01_综合_选择_03_solution_2.png,2
035,01,函数、极限、连续,综合,选择,04,,pb_01_综合_选择_04_question.png,pb_01_综合_选择_04_solution.png,1
036,01,函数、极限、连续,综合,选择,05,,pb_01_综合_选择_05_question.png,pb_01_综合_选择_05_solution.png,1
037,01,函数、极限、连续,综合,选择,06,,pb_01_综合_选择_06_question.png,pb_01_综合_选择_06_solution_1.png;pb_01_综合_选择_06_solution_2.png,2
038,01,函数、极限、连续,综合,选择,07,,pb_01_综合_选择_07_question.png,pb_01_综合_选择_07_solution.png,1
039,01,函数、极限、连续,综合,选择,08,,pb_01_综合_选择_08_question.png,pb_01_综合_选择_08_solution.png,1
