asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
0001,03,一元函数积分学及其应用,基础,选择,01,,pb_03_基础_选择_01_question.png,pb_03_基础_选择_01_solution.png,1
0002,03,一元函数积分学及其应用,基础,选择,02,,pb_03_基础_选择_02_question.png,pb_03_基础_选择_02_solution.png,1
0003,03,一元函数积分学及其应用,基础,选择,03,,pb_03_基础_选择_03_question.png,pb_03_基础_选择_03_solution.png,1
0004,03,一元函数积分学及其应用,基础,选择,04,,pb_03_基础_选择_04_question.png,pb_03_基础_选择_04_solution.png,1
0005,03,一元函数积分学及其应用,基础,选择,05,,pb_03_基础_选择_05_question.png,pb_03_基础_选择_05_solution.png,1
0006,03,一元函数积分学及其应用,基础,选择,06,,pb_03_基础_选择_06_question.png,pb_03_基础_选择_06_solution_1.png;pb_03_基础_选择_06_solution_2.png,2
0007,03,一元函数积分学及其应用,基础,选择,07,,pb_03_基础_选择_07_question.png,pb_03_基础_选择_07_solution.png,1
0008,03,一元函数积分学及其应用,基础,选择,08,,pb_03_基础_选择_08_question.png,pb_03_基础_选择_08_solution.png,1
0009,03,一元函数积分学及其应用,基础,选择,09,,pb_03_基础_选择_09_question.png,pb_03_基础_选择_09_solution.png,1
0010,03,一元函数积分学及其应用,基础,选择,10,,pb_03_基础_选择_10_question.png,pb_03_基础_选择_10_solution_1.png;pb_03_基础_选择_10_solution_2.png,2
0011,03,一元函数积分学及其应用,基础,选择,11,,pb_03_基础_选择_11_question.png,pb_03_基础_选择_11_solution.png,1
0012,03,一元函数积分学及其应用,基础,选择,12,,pb_03_基础_选择_12_question.png,pb_03_基础_选择_12_solution.png,1
0013,03,一元函数积分学及其应用,基础,选择,13,,pb_03_基础_选择_13_question.png,pb_03_基础_选择_13_solution.png,1
0014,03,一元函数积分学及其应用,基础,选择,14,,pb_03_基础_选择_14_question.png,pb_03_基础_选择_14_solution_1.png;pb_03_基础_选择_14_solution_2.png,2
0015,03,一元函数积分学及其应用,基础,选择,15,,pb_03_基础_选择_15_question.png,pb_03_基础_选择_15_solution.png,1
0016,03,一元函数积分学及其应用,基础,选择,16,,pb_03_基础_选择_16_question.png,pb_03_基础_选择_16_solution.png,1
0017,03,一元函数积分学及其应用,基础,填空,01,,pb_03_基础_填空_01_question.png,pb_03_基础_填空_01_solution.png,1
0018,03,一元函数积分学及其应用,基础,填空,02,,pb_03_基础_填空_02_question.png,pb_03_基础_填空_02_solution.png,1
0019,03,一元函数积分学及其应用,基础,填空,03,,pb_03_基础_填空_03_question.png,pb_03_基础_填空_03_solution.png,1
0020,03,一元函数积分学及其应用,基础,填空,04,,pb_03_基础_填空_04_question.png,pb_03_基础_填空_04_solution.png,1
0021,03,一元函数积分学及其应用,基础,填空,05,,pb_03_基础_填空_05_question.png,pb_03_基础_填空_05_solution.png,1
0022,03,一元函数积分学及其应用,基础,填空,06,,pb_03_基础_填空_06_question.png,pb_03_基础_填空_06_solution.png,1
0023,03,一元函数积分学及其应用,基础,填空,07,,pb_03_基础_填空_07_question.png,pb_03_基础_填空_07_solution.png,1
0024,03,一元函数积分学及其应用,基础,填空,08,,pb_03_基础_填空_08_question.png,pb_03_基础_填空_08_solution_1.png;pb_03_基础_填空_08_solution_2.png,2
0025,03,一元函数积分学及其应用,基础,填空,09,,pb_03_基础_填空_09_question.png,pb_03_基础_填空_09_solution.png,1
0026,03,一元函数积分学及其应用,基础,填空,10,,pb_03_基础_填空_10_question.png,pb_03_基础_填空_10_solution.png,1
0027,03,一元函数积分学及其应用,基础,填空,11,,pb_03_基础_填空_11_question.png,pb_03_基础_填空_11_solution.png,1
0028,03,一元函数积分学及其应用,基础,填空,12,,pb_03_基础_填空_12_question.png,pb_03_基础_填空_12_solution.png,1
0029,03,一元函数积分学及其应用,基础,填空,13,,pb_03_基础_填空_13_question.png,pb_03_基础_填空_13_solution.png,1
0030,03,一元函数积分学及其应用,基础,填空,14,,pb_03_基础_填空_14_question.png,pb_03_基础_填空_14_solution.png,1
0031,03,一元函数积分学及其应用,基础,填空,15,,pb_03_基础_填空_15_question.png,pb_03_基础_填空_15_solution.png,1
0032,03,一元函数积分学及其应用,基础,填空,16,,pb_03_基础_填空_16_question.png,pb_03_基础_填空_16_solution.png,1
0033,03,一元函数积分学及其应用,基础,解答,01,(1),pb_03_基础_解答_01_(1)_question.png,pb_03_基础_解答_01_(1)_solution.png,1
0034,03,一元函数积分学及其应用,基础,解答,01,(2),pb_03_基础_解答_01_(2)_question.png,pb_03_基础_解答_01_(2)_solution.png,1
0035,03,一元函数积分学及其应用,基础,解答,01,(3),pb_03_基础_解答_01_(3)_question.png,pb_03_基础_解答_01_(3)_solution.png,1
0036,03,一元函数积分学及其应用,基础,解答,01,(4),pb_03_基础_解答_01_(4)_question.png,pb_03_基础_解答_01_(4)_solution.png,1
0037,03,一元函数积分学及其应用,基础,解答,01,(5),pb_03_基础_解答_01_(5)_question.png,pb_03_基础_解答_01_(5)_solution.png,1
0038,03,一元函数积分学及其应用,基础,解答,02,(1),pb_03_基础_解答_02_(1)_question.png,pb_03_基础_解答_02_(1)_solution.png,1
