asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,04,空间解析几何,基础,选择,01,,pb_04_基础_选择_01_question.png,pb_04_基础_选择_01_solution.png,1
002,04,空间解析几何,基础,选择,02,,pb_04_基础_选择_02_question.png,pb_04_基础_选择_02_solution.png,1
003,04,空间解析几何,基础,选择,03,,pb_04_基础_选择_03_question.png,pb_04_基础_选择_03_solution.png,1
004,04,空间解析几何,基础,填空,01,,pb_04_基础_填空_01_question.png,pb_04_基础_填空_01_solution.png,1
005,04,空间解析几何,基础,填空,02,,pb_04_基础_填空_02_question.png,pb_04_基础_填空_02_solution.png,1
006,04,空间解析几何,基础,填空,03,,pb_04_基础_填空_03_question.png,pb_04_基础_填空_03_solution_1.png|pb_04_基础_填空_03_solution_2.png,2
007,04,空间解析几何,基础,填空,04,,pb_04_基础_填空_04_question.png,pb_04_基础_填空_04_solution.png,1
008,04,空间解析几何,基础,填空,05,,pb_04_基础_填空_05_question.png,pb_04_基础_填空_05_solution.png,1
009,04,空间解析几何,基础,填空,06,,pb_04_基础_填空_06_question.png,pb_04_基础_填空_06_solution.png,1
010,04,空间解析几何,基础,填空,07,,pb_04_基础_填空_07_question.png,pb_04_基础_填空_07_solution.png,1
011,04,空间解析几何,基础,填空,08,,pb_04_基础_填空_08_question.png,pb_04_基础_填空_08_solution_1.png|pb_04_基础_填空_08_solution_2.png,2
012,04,空间解析几何,基础,填空,09,,pb_04_基础_填空_09_question.png,pb_04_基础_填空_09_solution.png,1
013,04,空间解析几何,基础,填空,10,,pb_04_基础_填空_10_question.png,pb_04_基础_填空_10_solution.png,1
014,04,空间解析几何,基础,填空,11,,pb_04_基础_填空_11_question.png,pb_04_基础_填空_11_solution.png,1
015,04,空间解析几何,基础,填空,12,,pb_04_基础_填空_12_question.png,pb_04_基础_填空_12_solution.png,1
016,04,空间解析几何,基础,解答,01,,pb_04_基础_解答_01_question.png,pb_04_基础_解答_01_solution.png,1
017,04,空间解析几何,基础,解答,02,,pb_04_基础_解答_02_question.png,pb_04_基础_解答_02_solution.png,1
018,04,空间解析几何,基础,解答,03,,pb_04_基础_解答_03_question.png,pb_04_基础_解答_03_solution.png,1
019,04,空间解析几何,基础,解答,04,,pb_04_基础_解答_04_question.png,pb_04_基础_解答_04_solution_1.png|pb_04_基础_解答_04_solution_2.png,2
020,04,空间解析几何,基础,解答,05,,pb_04_基础_解答_05_question.png,pb_04_基础_解答_05_solution.png,1
021,04,空间解析几何,基础,解答,06,,pb_04_基础_解答_06_question.png,pb_04_基础_解答_06_solution.png,1
022,04,空间解析几何,基础,解答,07,,pb_04_基础_解答_07_question.png,pb_04_基础_解答_07_solution_1.png|pb_04_基础_解答_07_solution_2.png,2
023,04,空间解析几何,基础,解答,08,,pb_04_基础_解答_08_question.png,pb_04_基础_解答_08_solution.png,1
024,04,空间解析几何,基础,解答,09,,pb_04_基础_解答_09_question.png,pb_04_基础_解答_09_solution.png,1
025,04,空间解析几何,拓展,解答,01,(1),pb_04_拓展_解答_01_(1)_question.png,pb_04_拓展_解答_01_(1)_solution.png,1
026,04,空间解析几何,拓展,解答,01,(2),pb_04_拓展_解答_01_(2)_question.png,pb_04_拓展_解答_01_(2)_solution.png,1
027,04,空间解析几何,拓展,解答,01,(3),pb_04_拓展_解答_01_(3)_question.png,pb_04_拓展_解答_01_(3)_solution.png,1
028,04,空间解析几何,拓展,解答,01,(4),pb_04_拓展_解答_01_(4)_question.png,pb_04_拓展_解答_01_(4)_solution.png,1
