asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
1,06,重积分及其应用,基础,选择,01,,pb_06_基础_选择_01_question.png,pb_06_基础_选择_01_solution.png,1
2,06,重积分及其应用,基础,选择,02,,pb_06_基础_选择_02_question.png,pb_06_基础_选择_02_solution.png,1
3,06,重积分及其应用,基础,选择,03,,pb_06_基础_选择_03_question.png,pb_06_基础_选择_03_solution.png,1
4,06,重积分及其应用,基础,选择,04,,pb_06_基础_选择_04_question.png,pb_06_基础_选择_04_solution.png,1
5,06,重积分及其应用,基础,选择,05,,pb_06_基础_选择_05_question.png,pb_06_基础_选择_05_solution.png,1
6,06,重积分及其应用,基础,选择,06,,pb_06_基础_选择_06_question.png,pb_06_基础_选择_06_solution.png,1
7,06,重积分及其应用,基础,填空,01,,pb_06_基础_填空_01_question.png,pb_06_基础_填空_01_solution.png,1
8,06,重积分及其应用,基础,填空,02,,pb_06_基础_填空_02_question.png,pb_06_基础_填空_02_solution.png,1
9,06,重积分及其应用,基础,填空,03,,pb_06_基础_填空_03_question.png,pb_06_基础_填空_03_solution.png,1
10,06,重积分及其应用,基础,填空,04,,pb_06_基础_填空_04_question.png,pb_06_基础_填空_04_solution_1.png;pb_06_基础_填空_04_solution_2.png,2
11,06,重积分及其应用,基础,填空,05,,pb_06_基础_填空_05_question.png,pb_06_基础_填空_05_solution.png,1
12,06,重积分及其应用,基础,填空,06,,pb_06_基础_填空_06_question.png,pb_06_基础_填空_06_solution.png,1
13,06,重积分及其应用,基础,填空,07,,pb_06_基础_填空_07_question.png,pb_06_基础_填空_07_solution_1.png;pb_06_基础_填空_07_solution_2.png,2
14,06,重积分及其应用,基础,填空,08,,pb_06_基础_填空_08_question.png,pb_06_基础_填空_08_solution.png,1
15,06,重积分及其应用,基础,填空,09,,pb_06_基础_填空_09_question.png,pb_06_基础_填空_09_solution.png,1
16,06,重积分及其应用,基础,填空,10,,pb_06_基础_填空_10_question.png,pb_06_基础_填空_10_solution_1.png;pb_06_基础_填空_10_solution_2.png,2
17,06,重积分及其应用,基础,填空,11,,pb_06_基础_填空_11_question.png,pb_06_基础_填空_11_solution.png,1
18,06,重积分及其应用,基础,填空,12,,pb_06_基础_填空_12_question.png,pb_06_基础_填空_12_solution.png,1
19,06,重积分及其应用,基础,填空,13,,pb_06_基础_填空_13_question.png,pb_06_基础_填空_13_solution.png,1
20,06,重积分及其应用,基础,填空,14,,pb_06_基础_填空_14_question.png,pb_06_基础_填空_14_solution.png,1
21,06,重积分及其应用,基础,解答,01,(1),pb_06_基础_解答_01_(1)_question.png,pb_06_基础_解答_01_(1)_solution_1.png;pb_06_基础_解答_01_(1)_solution_2.png,2
22,06,重积分及其应用,基础,解答,01,(2),pb_06_基础_解答_01_(2)_question.png,pb_06_基础_解答_01_(2)_solution_1.png;pb_06_基础_解答_01_(2)_solution_2.png,2
23,06,重积分及其应用,基础,解答,01,(3),pb_06_基础_解答_01_(3)_question.png,pb_06_基础_解答_01_(3)_solution.png,1
24,06,重积分及其应用,基础,解答,01,(4),pb_06_基础_解答_01_(4)_question.png,pb_06_基础_解答_01_(4)_solution_1.png;pb_06_基础_解答_01_(4)_solution_2.png,2
25,06,重积分及其应用,基础,解答,02,,pb_06_基础_解答_02_question.png,pb_06_基础_解答_02_solution.png,1
26,06,重积分及其应用,基础,解答,03,,pb_06_基础_解答_03_question.png,pb_06_基础_解答_03_solution.png,1
27,06,重积分及其应用,基础,解答,04,,pb_06_基础_解答_04_question.png,pb_06_基础_解答_04_solution_1.png;pb_06_基础_解答_04_solution_2.png,2
28,06,重积分及其应用,基础,解答,05,,pb_06_基础_解答_05_question.png,pb_06_基础_解答_05_solution.png,1
29,06,重积分及其应用,基础,解答,06,,pb_06_基础_解答_06_question.png,pb_06_基础_解答_06_solution_1.png;pb_06_基础_解答_06_solution_2.png,2
30,06,重积分及其应用,基础,解答,07,,pb_06_基础_解答_07_question.png,pb_06_基础_解答_07_solution.png,1
31,06,重积分及其应用,基础,解答,08,,pb_06_基础_解答_08_question.png,pb_06_基础_解答_08_solution_1.png;pb_06_基础_解答_08_solution_2.png,2
32,06,重积分及其应用,基础,解答,09,,pb_06_基础_解答_09_question.png,pb_06_基础_解答_09_solution.png,1
33,06,重积分及其应用,基础,解答,10,,pb_06_基础_解答_10_question.png,pb_06_基础_解答_10_solution.png,1
34,06,重积分及其应用,基础,解答,11,,pb_06_基础_解答_11_question.png,pb_06_基础_解答_11_solution_1.png;pb_06_基础_解答_11_solution_2.png,2
35,06,重积分及其应用,基础,解答,12,(1),pb_06_基础_解答_12_(1)_question.png,pb_06_基础_解答_12_(1)_solution.png,1
36,06,重积分及其应用,基础,解答,12,(2),pb_06_基础_解答_12_(2)_question.png,pb_06_基础_解答_12_(2)_solution.png,1
37,06,重积分及其应用,基础,解答,13,,pb_06_基础_解答_13_question.png,pb_06_基础_解答_13_solution_1.png;pb_06_基础_解答_13_solution_2.png,2
38,06,重积分及其应用,基础,解答,14,,pb_06_基础_解答_14_question.png,pb_06_基础_解答_14_solution.png,1
39,06,重积分及其应用,基础,解答,15,,pb_06_基础_解答_15_question.png,pb_06_基础_解答_15_solution.png,1
40,06,重积分及其应用,基础,解答,16,,pb_06_基础_解答_16_question.png,pb_06_基础_解答_16_solution.png,1
41,06,重积分及其应用,基础,解答,17,,pb_06_基础_解答_17_question.png,pb_06_基础_解答_17_solution_1.png;pb_06_基础_解答_17_solution_2.png,2
42,06,重积分及其应用,综合,选择,01,,pb_06_综合_选择_01_question.png,pb_06_综合_选择_01_solution.png,1
43,06,重积分及其应用,综合,选择,02,,pb_06_综合_选择_02_question.png,pb_06_综合_选择_02_solution.png,1
44,06,重积分及其应用,综合,选择,03,,pb_06_综合_选择_03_question.png,pb_06_综合_选择_03_solution.png,1
45,06,重积分及其应用,综合,选择,04,,pb_06_综合_选择_04_question.png,pb_06_综合_选择_04_solution_1.png;pb_06_综合_选择_04_solution_2.png,2
46,06,重积分及其应用,综合,选择,05,,pb_06_综合_选择_05_question.png,pb_06_综合_选择_05_solution.png,1
47,06,重积分及其应用,综合,填空,01,,pb_06_综合_填空_01_question.png,pb_06_综合_填空_01_solution.png,1
48,06,重积分及其应用,综合,填空,02,,pb_06_综合_填空_02_question.png,pb_06_综合_填空_02_solution_1.png;pb_06_综合_填空_02_solution_2.png,2
49,06,重积分及其应用,综合,填空,03,,pb_06_综合_填空_03_question.png,pb_06_综合_填空_03_solution.png,1
50,06,重积分及其应用,综合,填空,04,,pb_06_综合_填空_04_question.png,pb_06_综合_填空_04_solution.png,1
51,06,重积分及其应用,综合,填空,05,,pb_06_综合_填空_05_question.png,pb_06_综合_填空_05_solution_1.png;pb_06_综合_填空_05_solution_2.png,2
52,06,重积分及其应用,综合,填空,06,,pb_06_综合_填空_06_question.png,pb_06_综合_填空_06_solution.png,1
53,06,重积分及其应用,综合,填空,07,,pb_06_综合_填空_07_question.png,pb_06_综合_填空_07_solution.png,1
54,06,重积分及其应用,综合,解答,01,,pb_06_综合_解答_01_question.png,pb_06_综合_解答_01_solution_1.png;pb_06_综合_解答_01_solution_2.png,2
55,06,重积分及其应用,综合,解答,02,,pb_06_综合_解答_02_question.png,pb_06_综合_解答_02_solution.png,1
56,06,重积分及其应用,综合,解答,03,,pb_06_综合_解答_03_question.png,pb_06_综合_解答_03_solution_1.png;pb_06_综合_解答_03_solution_2.png,2
57,06,重积分及其应用,综合,解答,04,,pb_06_综合_解答_04_question.png,pb_06_综合_解答_04_solution_1.png;pb_06_综合_解答_04_solution_2.png,2
58,06,重积分及其应用,综合,解答,05,,pb_06_综合_解答_05_question.png,pb_06_综合_解答_05_solution.png,1
59,06,重积分及其应用,综合,解答,06,,pb_06_综合_解答_06_question.png,pb_06_综合_解答_06_solution_1.png;pb_06_综合_解答_06_solution_2.png,2
60,06,重积分及其应用,综合,解答,07,,pb_06_综合_解答_07_question.png,pb_06_综合_解答_07_solution.png,1
