asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,07,微分方程及其应用,基础,选择,01,,pb_07_基础_选择_01_question.png,pb_07_基础_选择_01_solution.png,1
002,07,微分方程及其应用,基础,选择,02,,pb_07_基础_选择_02_question.png,pb_07_基础_选择_02_solution.png,1
003,07,微分方程及其应用,基础,选择,03,,pb_07_基础_选择_03_question.png,pb_07_基础_选择_03_solution.png,1
004,07,微分方程及其应用,基础,选择,04,,pb_07_基础_选择_04_question.png,pb_07_基础_选择_04_solution.png,1
005,07,微分方程及其应用,基础,选择,05,,pb_07_基础_选择_05_question.png,pb_07_基础_选择_05_solution.png,1
006,07,微分方程及其应用,基础,选择,06,,pb_07_基础_选择_06_question.png,pb_07_基础_选择_06_solution.png,1
007,07,微分方程及其应用,基础,选择,07,,pb_07_基础_选择_07_question.png,pb_07_基础_选择_07_solution.png,2
008,07,微分方程及其应用,基础,填空,01,,pb_07_基础_填空_01_question.png,pb_07_基础_填空_01_solution.png,1
009,07,微分方程及其应用,基础,填空,02,,pb_07_基础_填空_02_question.png,pb_07_基础_填空_02_solution.png,1
010,07,微分方程及其应用,基础,填空,03,,pb_07_基础_填空_03_question.png,pb_07_基础_填空_03_solution.png,1
011,07,微分方程及其应用,基础,填空,04,,pb_07_基础_填空_04_question.png,pb_07_基础_填空_04_solution.png,2
012,07,微分方程及其应用,基础,填空,05,,pb_07_基础_填空_05_question.png,pb_07_基础_填空_05_solution.png,1
013,07,微分方程及其应用,基础,填空,06,,pb_07_基础_填空_06_question.png,pb_07_基础_填空_06_solution.png,1
014,07,微分方程及其应用,基础,填空,07,,pb_07_基础_填空_07_question.png,pb_07_基础_填空_07_solution.png,1
015,07,微分方程及其应用,基础,填空,08,,pb_07_基础_填空_08_question.png,pb_07_基础_填空_08_solution.png,2
016,07,微分方程及其应用,基础,填空,09,,pb_07_基础_填空_09_question.png,pb_07_基础_填空_09_solution.png,1
017,07,微分方程及其应用,基础,填空,10,,pb_07_基础_填空_10_question.png,pb_07_基础_填空_10_solution.png,1
