asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
1,08,无穷级数,基础,选择,01,,pb_08_基础_选择_01_question.png,pb_08_基础_选择_01_solution.png,1
2,08,无穷级数,基础,选择,02,,pb_08_基础_选择_02_question.png,pb_08_基础_选择_02_solution.png,1
3,08,无穷级数,基础,选择,03,,pb_08_基础_选择_03_question.png,pb_08_基础_选择_03_solution.png,1
4,08,无穷级数,基础,选择,04,,pb_08_基础_选择_04_question.png,pb_08_基础_选择_04_solution.png,1
5,08,无穷级数,基础,选择,05,,pb_08_基础_选择_05_question.png,pb_08_基础_选择_05_solution.png,1
6,08,无穷级数,基础,选择,06,,pb_08_基础_选择_06_question.png,pb_08_基础_选择_06_solution.png,1
7,08,无穷级数,基础,选择,07,,pb_08_基础_选择_07_question.png,pb_08_基础_选择_07_solution.png,1
8,08,无穷级数,基础,选择,08,,pb_08_基础_选择_08_question.png,pb_08_基础_选择_08_solution.png,1
9,08,无穷级数,基础,选择,09,,pb_08_基础_选择_09_question.png,pb_08_基础_选择_09_solution.png,1
10,08,无穷级数,基础,填空,01,,pb_08_基础_填空_01_question.png,pb_08_基础_填空_01_solution.png,1
11,08,无穷级数,基础,填空,02,,pb_08_基础_填空_02_question.png,pb_08_基础_填空_02_solution.png,1
12,08,无穷级数,基础,填空,03,,pb_08_基础_填空_03_question.png,pb_08_基础_填空_03_solution.png,1
13,08,无穷级数,基础,填空,04,,pb_08_基础_填空_04_question.png,pb_08_基础_填空_04_solution.png,1
14,08,无穷级数,基础,填空,05,,pb_08_基础_填空_05_question.png,pb_08_基础_填空_05_solution.png,1
15,08,无穷级数,基础,填空,06,,pb_08_基础_填空_06_question.png,pb_08_基础_填空_06_solution.png,1
16,08,无穷级数,基础,解答,01,(1),pb_08_基础_解答_01_(1)_question.png,pb_08_基础_解答_01_(1)_solution.png,1
17,08,无穷级数,基础,解答,01,(2),pb_08_基础_解答_01_(2)_question.png,pb_08_基础_解答_01_(2)_solution.png,1
18,08,无穷级数,基础,解答,01,(3),pb_08_基础_解答_01_(3)_question.png,pb_08_基础_解答_01_(3)_solution.png,1
19,08,无穷级数,基础,解答,01,(4),pb_08_基础_解答_01_(4)_question.png,pb_08_基础_解答_01_(4)_solution.png,1
20,08,无穷级数,基础,解答,01,(5),pb_08_基础_解答_01_(5)_question.png,pb_08_基础_解答_01_(5)_solution.png,1
21,08,无穷级数,基础,解答,01,(6),pb_08_基础_解答_01_(6)_question.png,pb_08_基础_解答_01_(6)_solution.png,1
22,08,无穷级数,基础,解答,02,(1),pb_08_基础_解答_02_(1)_question.png,pb_08_基础_解答_02_(1)_solution.png,1
23,08,无穷级数,基础,解答,02,(2),pb_08_基础_解答_02_(2)_question.png,pb_08_基础_解答_02_(2)_solution.png,1
24,08,无穷级数,基础,解答,02,(3),pb_08_基础_解答_02_(3)_question.png,pb_08_基础_解答_02_(3)_solution.png,1
25,08,无穷级数,基础,解答,02,(4),pb_08_基础_解答_02_(4)_question.png,pb_08_基础_解答_02_(4)_solution.png,1
26,08,无穷级数,基础,解答,03,(1),pb_08_基础_解答_03_(1)_question.png,pb_08_基础_解答_03_(1)_solution.png,1
