asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,09,曲线积分与曲面积分,基础,选择,01,,pb_09_基础_选择_01_question.png,pb_09_基础_选择_01_solution.png,1
002,09,曲线积分与曲面积分,基础,选择,02,,pb_09_基础_选择_02_question.png,pb_09_基础_选择_02_solution.png,1
003,09,曲线积分与曲面积分,基础,选择,03,,pb_09_基础_选择_03_question.png,pb_09_基础_选择_03_solution.png,1
004,09,曲线积分与曲面积分,基础,选择,04,,pb_09_基础_选择_04_question.png,pb_09_基础_选择_04_solution.png,1
005,09,曲线积分与曲面积分,基础,填空,01,,pb_09_基础_填空_01_question.png,pb_09_基础_填空_01_solution.png,1
006,09,曲线积分与曲面积分,基础,填空,02,,pb_09_基础_填空_02_question.png,pb_09_基础_填空_02_solution.png,1
007,09,曲线积分与曲面积分,基础,填空,03,,pb_09_基础_填空_03_question.png,pb_09_基础_填空_03_solution.png,1
008,09,曲线积分与曲面积分,基础,填空,04,,pb_09_基础_填空_04_question.png,pb_09_基础_填空_04_solution_1.png;pb_09_基础_填空_04_solution_2.png,2
009,09,曲线积分与曲面积分,基础,填空,05,,pb_09_基础_填空_05_question.png,pb_09_基础_填空_05_solution.png,1
010,09,曲线积分与曲面积分,基础,填空,06,,pb_09_基础_填空_06_question.png,pb_09_基础_填空_06_solution.png,1
011,09,曲线积分与曲面积分,基础,填空,07,,pb_09_基础_填空_07_question.png,pb_09_基础_填空_07_solution.png,1
012,09,曲线积分与曲面积分,基础,填空,08,,pb_09_基础_填空_08_question.png,pb_09_基础_填空_08_solution.png,1
013,09,曲线积分与曲面积分,基础,填空,09,,pb_09_基础_填空_09_question.png,pb_09_基础_填空_09_solution.png,1
014,09,曲线积分与曲面积分,基础,解答,01,,pb_09_基础_解答_01_question.png,pb_09_基础_解答_01_solution_1.png;pb_09_基础_解答_01_solution_2.png,2
015,09,曲线积分与曲面积分,基础,解答,02,,pb_09_基础_解答_02_question.png,pb_09_基础_解答_02_solution.png,1
016,09,曲线积分与曲面积分,基础,解答,03,(1),pb_09_基础_解答_03_(1)_question.png,pb_09_基础_解答_03_(1)_solution.png,1
017,09,曲线积分与曲面积分,基础,解答,03,(2),pb_09_基础_解答_03_(2)_question.png,pb_09_基础_解答_03_(2)_solution.png,1
018,09,曲线积分与曲面积分,基础,解答,03,(3),pb_09_基础_解答_03_(3)_question.png,pb_09_基础_解答_03_(3)_solution.png,1
019,09,曲线积分与曲面积分,基础,解答,04,,pb_09_基础_解答_04_question.png,pb_09_基础_解答_04_solution_1.png;pb_09_基础_解答_04_solution_2.png,2
020,09,曲线积分与曲面积分,基础,解答,05,,pb_09_基础_解答_05_question.png,pb_09_基础_解答_05_solution.png,1
021,09,曲线积分与曲面积分,基础,解答,06,,pb_09_基础_解答_06_question.png,pb_09_基础_解答_06_solution.png,1
022,09,曲线积分与曲面积分,基础,解答,07,,pb_09_基础_解答_07_question.png,pb_09_基础_解答_07_solution_1.png;pb_09_基础_解答_07_solution_2.png,2
023,09,曲线积分与曲面积分,基础,解答,08,(1),pb_09_基础_解答_08_(1)_question.png,pb_09_基础_解答_08_(1)_solution.png,1
024,09,曲线积分与曲面积分,基础,解答,08,(2),pb_09_基础_解答_08_(2)_question.png,pb_09_基础_解答_08_(2)_solution.png,1
025,09,曲线积分与曲面积分,基础,解答,09,,pb_09_基础_解答_09_question.png,pb_09_基础_解答_09_solution_1.png;pb_09_基础_解答_09_solution_2.png,2
026,09,曲线积分与曲面积分,基础,解答,10,,pb_09_基础_解答_10_question.png,pb_09_基础_解答_10_solution_1.png;pb_09_基础_解答_10_solution_2.png,2
027,09,曲线积分与曲面积分,基础,解答,11,,pb_09_基础_解答_11_question.png,pb_09_基础_解答_11_solution.png,1
028,09,曲线积分与曲面积分,基础,解答,12,,pb_09_基础_解答_12_question.png,pb_09_基础_解答_12_solution.png,1
029,09,曲线积分与曲面积分,基础,解答,13,,pb_09_基础_解答_13_question.png,pb_09_基础_解答_13_solution_1.png;pb_09_基础_解答_13_solution_2.png,2
030,09,曲线积分与曲面积分,基础,解答,14,,pb_09_基础_解答_14_question.png,pb_09_基础_解答_14_solution.png,1
031,09,曲线积分与曲面积分,基础,解答,15,,pb_09_基础_解答_15_question.png,pb_09_基础_解答_15_solution_1.png;pb_09_基础_解答_15_solution_2.png,2
032,09,曲线积分与曲面积分,基础,解答,16,,pb_09_基础_解答_16_question.png,pb_09_基础_解答_16_solution.png,1
033,09,曲线积分与曲面积分,综合,选择,01,,pb_09_综合_选择_01_question.png,pb_09_综合_选择_01_solution.png,1
034,09,曲线积分与曲面积分,综合,选择,02,,pb_09_综合_选择_02_question.png,pb_09_综合_选择_02_solution_1.png;pb_09_综合_选择_02_solution_2.png,2
035,09,曲线积分与曲面积分,综合,选择,03,,pb_09_综合_选择_03_question.png,pb_09_综合_选择_03_solution.png,1
036,09,曲线积分与曲面积分,综合,选择,04,,pb_09_综合_选择_04_question.png,pb_09_综合_选择_04_solution.png,1
037,09,曲线积分与曲面积分,综合,填空,01,,pb_09_综合_填空_01_question.png,pb_09_综合_填空_01_solution.png,1
038,09,曲线积分与曲面积分,综合,填空,02,,pb_09_综合_填空_02_question.png,pb_09_综合_填空_02_solution.png,1
039,09,曲线积分与曲面积分,综合,填空,03,,pb_09_综合_填空_03_question.png,pb_09_综合_填空_03_solution.png,1
040,09,曲线积分与曲面积分,综合,填空,04,,pb_09_综合_填空_04_question.png,pb_09_综合_填空_04_solution.png,1
041,09,曲线积分与曲面积分,综合,填空,05,,pb_09_综合_填空_05_question.png,pb_09_综合_填空_05_solution_1.png;pb_09_综合_填空_05_solution_2.png,2
042,09,曲线积分与曲面积分,综合,填空,06,,pb_09_综合_填空_06_question.png,pb_09_综合_填空_06_solution.png,1
043,09,曲线积分与曲面积分,综合,填空,07,,pb_09_综合_填空_07_question.png,pb_09_综合_填空_07_solution.png,1
044,09,曲线积分与曲面积分,综合,解答,01,,pb_09_综合_解答_01_question.png,pb_09_综合_解答_01_solution.png,1
045,09,曲线积分与曲面积分,综合,解答,02,,pb_09_综合_解答_02_question.png,pb_09_综合_解答_02_solution_1.png;pb_09_综合_解答_02_solution_2.png,2
046,09,曲线积分与曲面积分,综合,解答,03,,pb_09_综合_解答_03_question.png,pb_09_综合_解答_03_solution.png,1
047,09,曲线积分与曲面积分,综合,解答,04,,pb_09_综合_解答_04_question.png,pb_09_综合_解答_04_solution_1.png;pb_09_综合_解答_04_solution_2.png,2
048,09,曲线积分与曲面积分,综合,解答,05,,pb_09_综合_解答_05_question.png,pb_09_综合_解答_05_solution.png,1
049,09,曲线积分与曲面积分,综合,解答,06,,pb_09_综合_解答_06_question.png,pb_09_综合_解答_06_solution_1.png;pb_09_综合_解答_06_solution_2.png,2
